"time","aimc3.is[1]","aimc3.is[2]","aimc3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimcM.is[1]","aimcM.is[2]","aimcM.is[3]","aimcM.is[4]","aimcM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimcM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","loadInertia3.phi","loadInertia3.w","loadInertiaM.phi","loadInertiaM.w"
0.90970000000000006,79.783611486292031,61.232453045477186,-0.096690358918489039,-0.40399110284852735,-0.437006094714459,0.034742234608636076,47.870166891754849,81.424610177496845,2.4530097186237816,-79.908566796661503,-0.096690358908543911,-0.40399110285090734,-0.43700609471446061,0.034742234608631545,84.01737855866206,150.84400699540112,84.017378558649753,150.84400699540103
0.90975000000000006,77.93965399578002,63.227247604521239,-0.096438426466977478,-0.40405131679139766,-0.43749789026491648,0.02787375526803744,46.76379239746786,81.789612100716056,3.7849678074368245,-79.450373349386865,-0.096438426457030879,-0.40405131679377149,-0.43749789026491809,0.027873755268032947,84.024920759011692,150.84400699046228,84.024920758999386,150.84400699046222
0.90980000000000005,76.076464611042084,65.206442748035229,-0.096186456517100755,-0.40411137362688793,-0.43788173883498605,0.02099839832164983,45.645878766624534,82.13443354770699,5.1159928125701351,-78.972576103330354,-0.096186456507152657,-0.40411137362925559,-0.43788173883498765,0.020998398321645361,84.032462959361098,150.84400698553395,84.032462959348791,150.84400698553389
0.90985000000000005,74.194504502377953,67.169549171522533,-0.095934449166832053,-0.40417127333164626,-0.43815754664328027,0.014117860337147502,44.516702701407176,82.458989551048049,6.4457555190890945,-78.475293557087213,-0.09593444915688247,-0.40417127333400771,-0.43815754664328194,0.014117860337143066,84.040005159710248,150.84400698061611,84.040005159697941,150.84400698061603
0.90990000000000004,72.294238426965691,69.116082251479881,-0.095682404514159256,-0.40423101588238197,-0.43832524590057148,0.0072338390214381548,43.376543056160422,82.763200074424219,7.7739276075188783,-77.958648586905298,-0.095682404504208202,-0.40423101588473725,-0.43832524590057315,0.0072338390214337425,84.04754736005917,150.84400697570877,84.047547360046863,150.84400697570871
0.90995000000000004,70.37613592858699,71.045561289220757,-0.095430322657084621,-0.4042906012558653,-0.43838479566368321,0.00034803296261728489,42.225681557150388,83.046990132101811,9.1001810078572092,-77.422768965463618,-0.095430322647132082,-0.40429060125821431,-0.43838479566368499,0.00034803296261289962,84.055089560407822,150.84400697081202,84.055089560395515,150.84400697081196
0.91000000000000003,68.440667647030025,72.957511821810854,-0.095178203693625299,-0.40435002942892767,-0.43833617956872895,-0.0065378590870902985,41.064400588215548,83.310289411461326,10.424189880649591,-76.867785760032532,-0.095178203683671303,-0.40435002943127046,-0.43833617956873072,-0.0065378590870946614,84.062631760756247,150.84400696592576,84.06263176074394,150.8440069659257
0.91005000000000003,66.488312636009539,74.851461188192332,-0.094926047721812443,-0.40440930037846168,-0.4381794105701487,-0.013422138017024639,39.892987581587143,83.553033119191014,11.745626749195999,-76.293836569026496,-0.094926047711856962,-0.40440930038079831,-0.43817941057015053,-0.013422138017028991,84.070173961104416,150.8440069610501,84.070173961092109,150.84400696105004
0.91010000000000002,64.519553002405402,76.726941862170904,-0.094673854839691735,-0.4044684140814212,-0.43791452759834398,-0.020303105215077388,38.711731801440123,83.775161417350304,13.064165367482564,-75.701063185593767,-0.094673854829734783,-0.40446841408375162,-0.43791452759834582,-0.020303105215081736,84.077716161452344,150.84400695618504,84.077716161440037,150.84400695618498
0.91015000000000001,62.534875193997706,78.58349071188006,-0.094421625145323235,-0.40452737051482085,-0.43754159644603668,-0.027179062874571787,37.520925116394416,83.976619598489933,14.379480055783635,-75.089612183462435,-0.094421625135364826,-0.4045273705171451,-0.43754159644603852,-0.027179062874576138,84.085258361800044,150.84400695133061,84.085258361787737,150.84400695133056
0.91020000000000001,60.534766593832302,80.420650944937989,-0.094169358736781089,-0.40458616965573679,-0.43706070765930294,-0.034048314551465265,36.320859956282334,84.157357613833895,15.691247452427117,-74.459633362358929,-0.094169358726821237,-0.40458616965805477,-0.43706070765930477,-0.034048314551469616,84.092800562147488,150.84400694648676,84.092800562135182,150.8440069464867
0.91025,58.519721736659079,82.237968697838966,-0.093917055712154321,-0.40464481148130593,-0.43647198055132003,-0.04090916532190722,35.111833041978471,84.317331026636921,16.999143373139173,-73.811282642413872,-0.093917055702193011,-0.40464481148361775,-0.43647198055132191,-0.040909165321911571,84.100342762494677,150.84400694165356,84.10034276248237,150.8440069416535
0.9103,56.490238344301773,84.034995290909919,-0.093664716169545623,-0.40470329596872695,-0.43577556072542245,-0.047759922363478945,33.894143006575852,84.456500456763365,18.302844846565712,-73.14472025077059,-0.09366471615958287,-0.40470329597103255,-0.43577556072542434,-0.047759922363483295,84.107884962841652,150.84400693683105,84.107884962829345,150.84400693683099
0.91034999999999999,54.446817820159524,85.811287001333554,-0.093412340207072064,-0.40476162309525915,-0.4349716204323516,-0.054598895351408348,32.668090692079318,84.574831685738062,19.602029882489301,-72.460110969878585,-0.093412340197107868,-0.40476162309755853,-0.43497162043235349,-0.054598895351412699,84.115427163188357,150.8440069320192,84.115427163176051,150.84400693201914
0.9104000000000001,52.389962430961376,87.566406514880541,-0.093159927922864164,-0.40481979283822334,-0.434060356811522,-0.061424396872126093,31.433977458570581,84.672295162243714,20.896378857149557,-71.757622786732966,-0.093159927912898524,-0.4048197928405165,-0.43406035681152394,-0.061424396872130443,84.122969363534864,150.84400692721812,84.122969363522557,150.84400692721806
0.91045000000000009,50.320180192006262,89.299920528332393,-0.092907479415068731,-0.40487780517500116,-0.43304199503289326,-0.068234742838744256,30.192108115197161,84.748866937636208,22.185572160294402,-71.037429282714101,-0.092907479405101648,-0.40487780517728811,-0.43304199503289514,-0.068234742838748613,84.130511563881115,150.84400692242767,84.130511563868808,150.84400692242761
0.91050000000000009,48.237982489599716,91.011400988712609,-0.09265499478184451,-0.40493566008303605,-0.43191678680690043,-0.07502825291129947,28.94278949374419,84.804528258317603,23.469291369779121,-70.299708499929707,-0.092654994771875998,-0.40493566008531678,-0.43191678680690238,-0.075028252911303814,84.138053764227109,150.84400691764799,84.138053764214803,150.84400691764793
0.91055000000000008,46.143883704494073,92.700425329840044,-0.092402474121364986,-0.4049933575398319,-0.43068501016286637,-0.081803250915552739,27.686330222681502,84.839265527733204,24.747219454017998,-69.544642778107914,-0.092402474111395058,-0.40499335754210647,-0.43068501016286831,-0.081803250915557083,84.145595964572877,150.84400691287905,84.14559596456057,150.844006912879
0.91060000000000008,44.03839897952885,94.366577496819687,-0.09214991753181756,-0.40505089752295459,-0.42934696803936362,-0.088558065159058993,26.423039387709824,84.853069832068954,26.019041818268011,-68.77241763368103,-0.092149917521846189,-0.40505089752522294,-0.42934696803936562,-0.088558065159063323,84.153138164918403,150.84400690812092,84.153138164906096,150.84400690812086
0.91065000000000007,41.922047846544785,96.009446380480995,-0.091897325111404013,-0.40510828001003074,-0.42790299060054676,-0.095291028997238028,25.153228707913001,84.845937776060012,27.284444645035553,-67.983223621274107,-0.09189732510143124,-0.40510828001229288,-0.42790299060054876,-0.095291028997242358,84.160680365263687,150.84400690337355,84.16068036525138,150.8440069033735
0.91070000000000007,39.795353322312138,97.628626268504092,-0.091644696958339614,-0.40516550497874843,-0.42635343466049835,-0.10200048121646198,23.877211993373855,84.817871314739207,28.543115332535361,-67.177255894435604,-0.091644696948365398,-0.40516550498100434,-0.42635343466050041,-0.10200048121646627,84.168222565608744,150.84400689863696,84.168222565596437,150.84400689863691
0.91075000000000006,37.65884073569984,99.223717415746592,-0.09139203317085369,-0.40522257240685677,-0.42469868293036572,-0.1086847664058881,22.595304441410551,84.768877525412663,29.794743057460796,-66.354713629840049,-0.091392033160878086,-0.40522257240910647,-0.42469868293036772,-0.10868476640589239,84.175764765953545,150.84400689391126,84.175764765941238,150.8440068939112
0.91080000000000005,35.513036045255575,100.7943267203776,-0.091139333847189252,-0.40527948227216637,-0.42293914293488999,-0.11534223521971326,21.30782162714365,84.698968186939709,31.039019524420357,-65.515799143385365,-0.091139333837212247,-0.40527948227440991,-0.42293914293489199,-0.11534223521971752,84.183306966298133,150.84400688919632,84.183306966285826,150.84400688919627
0.91085000000000005,33.358468292029869,102.34006681925092,-0.090886599085603662,-0.40533623455254891,-0.42107524855681511,-0.12197124499705096,20.015080975204928,84.608160446536118,32.275637906345047,-64.660719211841652,-0.090886599075625241,-0.40533623455478629,-0.42107524855681711,-0.12197124499705519,84.190849166642465,150.8440068844923,84.190849166630159,150.84400688449225
0.91090000000000004,31.195670042958213,103.86055596420978,-0.090633828984367462,-0.40539282922593756,-0.41910746029537571,-0.12857016021714099,18.71740202576439,84.496476966552322,33.504292669176351,-63.789685327987485,-0.09063382897438764,-0.40539282922816872,-0.41910746029537777,-0.12857016021714518,84.19839136698657,150.84400687979908,84.198391366974263,150.84400687979903
0.91095000000000004,29.02517550278661,105.35541880526047,-0.090381023641765257,-0.40544926627032651,-0.41703626403378913,-0.13513735276354516,17.415105301660429,84.363945468420624,34.72468042285405,-62.902912718629665,-0.090381023631784047,-0.4054492662725514,-0.41703626403379118,-0.13513735276354935,84.205933567330447,150.8440068751168,84.205933567318141,150.84400687511675
0.91100000000000003,26.847519341192623,106.82428679357733,-0.090128183156095096,-0.40550554566377156,-0.4148621702562717,-0.14167120217132972,16.108511604703789,84.210598394310878,35.93650041593591,-62.000619700550033,-0.090128183146112484,-0.40550554566599023,-0.41486217025627375,-0.14167120217133389,84.213475767674097,150.84400687044541,84.213475767661791,150.84400687044536
