"Time","smee.stator.stray.port_p.Phi.re","constantSpeedQS.phi","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.stator.stray.port_p.Phi.im","smeeQS.short.port_p.reference.gamma","smee.excitation.electroMagneticConverter.Phi.re","constantSpeed.phi"
14.9121,0.062589645,2340.0403,-0.33999565,-0.29468855,0.052311935,4.6939793,0.34615058,2339.2549
14.9122,0.060916178,2340.0559,-0.33057168,-0.30522284,0.054251481,4.6940002,0.34615052,2339.2705
14.9123,0.059182636,2340.0715,-0.32082146,-0.31545591,0.056137525,4.6940212,0.34615043,2339.2861
14.9124,0.057390723,2340.0874,-0.31075463,-0.32537767,0.057968203,4.6940422,0.34615034,2339.302
14.9125,0.055542208,2340.103,-0.30038109,-0.33497834,0.059741713,4.6940632,0.34615028,2339.3176
14.9126,0.053638916,2340.1187,-0.28971112,-0.34424844,0.061456304,4.6940842,0.34615019,2339.3333
14.9127,0.051682726,2340.1343,-0.27875522,-0.35317883,0.063110285,4.6941051,0.34615013,2339.3489
14.9128,0.049675565,2340.1501,-0.26752421,-0.36176068,0.064702027,4.6941257,0.34615004,2339.3647
14.9129,0.04761941,2340.1658,-0.25602916,-0.36998552,0.066229962,4.6941466,0.34614995,2339.3804
14.913,0.04551629,2340.1814,-0.24428144,-0.37784523,0.067692578,4.6941676,0.34614986,2339.396
14.9131,0.043368284,2340.1973,-0.23229264,-0.38533208,0.069088429,4.6941886,0.3461498,2339.4119
14.9132,0.041177504,2340.2129,-0.22007456,-0.39243865,0.070416152,4.6942096,0.34614971,2339.4275
14.9133,0.038946114,2340.2285,-0.20763929,-0.39915794,0.071674421,4.6942306,0.34614962,2339.4431
14.9134,0.036676314,2340.2444,-0.1949991,-0.40548331,0.072862007,4.6942515,0.34614956,2339.459
14.9135,0.03437034,2340.26,-0.18216644,-0.41140854,0.073977739,4.6942725,0.34614947,2339.4746
14.9136,0.032030471,2340.2756,-0.169154,-0.41692775,0.075020507,4.6942935,0.34614938,2339.4902
14.9137,0.029659012,2340.2913,-0.1559746,-0.42203552,0.075989291,4.6943145,0.34614933,2339.5059
14.9138,0.027258303,2340.3071,-0.14264126,-0.42672679,0.07688313,4.6943355,0.34614924,2339.5217
14.9139,0.02483071,2340.3228,-0.12916714,-0.43099692,0.077701151,4.6943564,0.34614915,2339.5374
14.914,0.022378627,2340.3384,-0.11556553,-0.43484175,0.078442536,4.6943769,0.34614906,2339.553
14.9141,0.019904474,2340.3542,-0.10184985,-0.43825743,0.079106562,4.6943979,0.346149,2339.5688
14.9142,0.017410688,2340.3699,-0.088033654,-0.44124061,0.079692565,4.6944189,0.34614891,2339.5845
14.9143,0.014899733,2340.3855,-0.074130557,-0.44378835,0.080199979,4.6944399,0.34614882,2339.6001
14.9144,0.012374082,2340.4011,-0.060154285,-0.44589812,0.080628298,4.6944609,0.34614873,2339.616
14.9145,0.0098362267,2340.417,-0.046118632,-0.44756782,0.080977105,4.6944818,0.34614867,2339.6316
14.9146,0.0072886697,2340.4326,-0.032037448,-0.44879586,0.081246041,4.6945028,0.34614858,2339.6472
14.9147,0.0047339243,2340.4482,-0.017924633,-0.44958097,0.081434853,4.6945238,0.34614849,2339.6628
14.9148,0.0021745092,2340.4641,-0.0037941132,-0.44992244,0.081543356,4.6945448,0.3461484,2339.6787
14.9149,-0.00038705088,2340.4797,0.010340168,-0.44981983,0.081571437,4.6945658,0.34614831,2339.6943
14.915,-0.0029482299,2340.4954,0.024464263,-0.44927335,0.081519067,4.6945868,0.34614825,2339.71
14.9151,-0.005506502,2340.5112,0.038564228,-0.44828346,0.081386305,4.6946077,0.34614816,2339.7258
14.9152,-0.0080593443,2340.5269,0.052626152,-0.44685119,0.081173278,4.6946287,0.34614807,2339.7415
14.9153,-0.010604238,2340.5425,0.066636153,-0.44497794,0.080880195,4.6946492,0.34614798,2339.7571
14.9154,-0.013138675,2340.5581,0.080580413,-0.44266552,0.080507345,4.6946702,0.34614789,2339.7727
14.9155,-0.015660156,2340.574,0.094445162,-0.43991625,0.080055095,4.6946912,0.34614781,2339.7886
14.9156,-0.01816619,2340.5896,0.10821673,-0.43673283,0.079523899,4.6947122,0.34614775,2339.8042
14.9157,-0.020654311,2340.6052,0.1218815,-0.4331184,0.07891427,4.6947331,0.34614766,2339.8198
14.9158,-0.023122063,2340.6211,0.13542601,-0.42907655,0.078226812,4.6947541,0.34614757,2339.8357
14.9159,-0.025567012,2340.6367,0.1488369,-0.42461124,0.077462204,4.6947751,0.34614748,2339.8513
14.916,-0.027986746,2340.6523,0.1621009,-0.41972688,0.076621205,4.6947961,0.34614739,2339.8669
14.9161,-0.03037888,2340.6682,0.17520495,-0.41442826,0.075704642,4.6948171,0.3461473,2339.8828
14.9162,-0.032741055,2340.6838,0.18813612,-0.4087207,0.074713409,4.694838,0.34614724,2339.8984
14.9163,-0.035070937,2340.6995,0.20088162,-0.40260974,0.073648497,4.694859,0.34614715,2339.9141
14.9164,-0.037366237,2340.7151,0.21342888,-0.39610147,0.07251095,4.69488,0.34614706,2339.9297
14.9165,-0.039624684,2340.731,0.22576556,-0.38920227,0.071301892,4.694901,0.34614697,2339.9456
14.9166,-0.041844051,2340.7466,0.23787943,-0.38191897,0.070022516,4.6949215,0.34614688,2339.9612
14.9167,-0.044022154,2340.7622,0.24975854,-0.37425876,0.06867408,4.6949425,0.34614679,2339.9768
14.9168,-0.046156839,2340.7781,0.26139122,-0.36622921,0.067257911,4.6949635,0.3461467,2339.9927
14.9169,-0.048246004,2340.7937,0.2727659,-0.35783818,0.065775417,4.6949844,0.34614661,2340.0083
14.917,-0.050287589,2340.8093,0.28387144,-0.34909403,0.06422805,4.6950054,0.34614652,2340.0239
14.9171,-0.05227958,2340.8252,0.29469687,-0.34000537,0.062617339,4.6950264,0.34614643,2340.0398
14.9172,-0.05422001,2340.8408,0.30523142,-0.33058113,0.060944874,4.6950474,0.34614635,2340.0554
14.9173,-0.05610697,2340.8564,0.31546479,-0.32083061,0.059212301,4.6950684,0.34614626,2340.071
14.9174,-0.057938594,2340.8721,0.32538685,-0.31076351,0.057421334,4.6950893,0.3461462,2340.0867
14.9175,-0.059713081,2340.8879,0.33498782,-0.30038968,0.055573735,4.6951103,0.34614608,2340.1025
14.9176,-0.061428677,2340.9036,0.34425816,-0.2897194,0.053671326,4.6951313,0.34614599,2340.1182
14.9177,-0.063083693,2340.9192,0.35318881,-0.2787632,0.051715985,4.6951523,0.34614593,2340.1338
14.9178,-0.064676493,2340.9351,0.3617709,-0.26753187,0.04970964,4.6951733,0.34614584,2340.1497
14.9179,-0.066205502,2340.9507,0.36999598,-0.25603652,0.047654275,4.6951938,0.34614575,2340.1653
14.918,-0.067669228,2340.9663,0.37785593,-0.24428846,0.045551907,4.6952147,0.34614566,2340.1809
14.9181,-0.069066212,2340.9819,0.38534299,-0.2322993,0.043404613,4.6952357,0.34614557,2340.1965
14.9182,-0.070395082,2340.9978,0.39244977,-0.22008088,0.041214515,4.6952567,0.34614548,2340.2124
14.9183,-0.071654528,2341.0134,0.39916924,-0.20764527,0.038983766,4.6952777,0.34614539,2340.228
14.9184,-0.072843306,2341.0291,0.40549478,-0.1950047,0.036714572,4.6952987,0.34614527,2340.2437
14.9185,-0.073960245,2341.0449,0.4114202,-0.18217169,0.034409169,4.6953197,0.34614521,2340.2595
14.9186,-0.075004242,2341.0605,0.41693956,-0.16915888,0.032069828,4.6953406,0.34614512,2340.2751
14.9187,-0.075974263,2341.0762,0.42204747,-0.15597911,0.029698862,4.6953616,0.346145,2340.2908
14.9188,-0.076869369,2341.092,0.42673889,-0.1426454,0.027298605,4.6953826,0.34614494,2340.3066
14.9189,-0.077688657,2341.1077,0.43100917,-0.12917089,0.024871424,4.6954036,0.34614483,2340.3223
14.919,-0.078431323,2341.1233,0.43485409,-0.1155689,0.022419712,4.6954246,0.34614474,2340.3379
14.9191,-0.079096645,2341.1389,0.43826988,-0.10185283,0.01994589,4.6954455,0.34614465,2340.3535
14.9192,-0.079683959,2341.1548,0.44125313,-0.088036239,0.017452396,4.695466,0.34614456,2340.3694
14.9193,-0.080192685,2341.1704,0.44380093,-0.074132748,0.01494169,4.695487,0.34614447,2340.385
14.9194,-0.08062233,2341.186,0.44591078,-0.060156077,0.012416248,4.695508,0.34614438,2340.4006
14.9195,-0.080972455,2341.2019,0.44758055,-0.046120025,0.009878559,4.695529,0.34614429,2340.4165
14.9196,-0.081242725,2341.2175,0.44880861,-0.032038443,0.0073311273,4.69555,0.3461442,2340.4321
14.9197,-0.081432879,2341.2332,0.44959375,-0.017925229,0.0047764652,4.6955709,0.34614411,2340.4478
14.9198,-0.081542715,2341.249,0.4499352,-0.0037943053,0.0022170914,4.6955919,0.34614402,2340.4636
14.9199,-0.08157213,2341.2646,0.44983262,0.010340377,-0.00034446953,4.6956129,0.34614393,2340.4792
14.92,-0.081521101,2341.2803,0.44928613,0.024464872,-0.0029056913,4.6956339,0.34614381,2340.4949
14.9201,-0.081389673,2341.2959,0.44829622,0.038565237,-0.0054640481,4.6956549,0.34614372,2340.5105
14.9202,-0.081177972,2341.3118,0.44686389,0.05262756,-0.0080170166,4.6956758,0.34614363,2340.5264
14.9203,-0.080886215,2341.3274,0.44499058,0.066637963,-0.010562079,4.6956968,0.34614354,2340.542
14.9204,-0.080514692,2341.343,0.44267809,0.080582619,-0.013096726,4.6957178,0.34614345,2340.5576
14.9205,-0.080063753,2341.3589,0.43992877,0.094447762,-0.015618457,4.6957383,0.34614336,2340.5735
14.9206,-0.07953386,2341.3745,0.43674526,0.10821971,-0.018124785,4.6957593,0.34614328,2340.5891
14.9207,-0.078925528,2341.3901,0.43313074,0.12188488,-0.02061324,4.6957803,0.34614316,2340.6047
14.9208,-0.078239352,2341.4058,0.42908877,0.13542978,-0.023081364,4.6958013,0.34614307,2340.6206
14.9209,-0.077476017,2341.4216,0.42462331,0.14884104,-0.025526727,4.6958222,0.34614298,2340.6362
14.921,-0.076636277,2341.4373,0.41973883,0.16210543,-0.027946915,4.6958432,0.34614289,2340.6519
14.9211,-0.075720951,2341.4529,0.4144401,0.17520985,-0.030339541,4.6958642,0.3461428,2340.6675
14.9212,-0.074730955,2341.4688,0.40873235,0.18814138,-0.032702249,4.6958852,0.34614271,2340.6833
14.9213,-0.073667251,2341.4844,0.40262124,0.20088725,-0.035032701,4.6959062,0.34614259,2340.699
14.9214,-0.072530895,2341.5,0.39611277,0.21343488,-0.037328608,4.6959271,0.3461425,2340.7146
14.9215,-0.071323007,2341.5159,0.38921338,0.22577189,-0.039587699,4.6959481,0.34614241,2340.7305
14.9216,-0.070044778,2341.5315,0.38192987,0.2378861,-0.041807748,4.6959691,0.34614232,2340.7461
14.9217,-0.068697467,2341.5471,0.37426946,0.24976557,-0.043986566,4.6959901,0.34614223,2340.7617
14.9218,-0.067282408,2341.5627,0.36623964,0.26139855,-0.046122003,4.6960106,0.34614211,2340.7773
14.9219,-0.065800995,2341.5786,0.35784841,0.27277359,-0.048211955,4.6960316,0.34614202,2340.7932
14.922,-0.064254686,2341.5942,0.34910402,0.28387946,-0.05025436,4.6960526,0.34614193,2340.8088
14.9221,-0.062645003,2341.6099,0.34001505,0.29470515,-0.052247204,4.6960735,0.34614184,2340.8245
14.9222,-0.060973544,2341.6257,0.33059058,0.30524004,-0.05418852,4.6960945,0.34614173,2340.8403
14.9223,-0.059241947,2341.6414,0.32083979,0.31547371,-0.056076396,4.6961155,0.34614164,2340.856
14.9224,-0.057451922,2341.657,0.31077239,0.32539603,-0.057908967,4.6961365,0.34614155,2340.8716
14.9225,-0.05560524,2341.6729,0.30039829,0.33499727,-0.059684426,4.6961575,0.34614146,2340.8875
14.9226,-0.053703714,2341.6885,0.28972772,0.3442679,-0.061401024,4.6961784,0.34614134,2340.9031
