"Time","rootMeanSquareVoltage.mean.y","rectifier.thyristor_p.off","pulse2.twoPulse.timerPositive[1].entryTime","inductor.i","meanCurrent.x","meanVoltage.y","rootMeanSquareVoltage.mean.x","meanVoltage.x","pulse2.twoPulse.timerNegative[1].entryTime","meanCurrent.y","rectifier.thyristor_n.off"
4.9675965,12099.977,0,4.96,6.182364,0.046263602,1.401282,111.14186,-0.12365877,4.9499998,6.1476111,1
4.9677968,12099.977,0,4.96,6.2021909,0.047502134,1.401282,113.26372,-0.10306227,4.9499998,6.1476111,1
4.9679966,12099.977,0,4.96,6.220437,0.048744474,1.401282,115.08711,-0.083970383,4.9499998,6.1476111,1
4.9681969,12099.977,0,4.96,6.2370334,0.049990296,1.401282,116.62145,-0.066458449,4.9499998,6.1476111,1
4.9683967,12099.977,0,4.96,6.2519178,0.051239271,1.401282,117.88071,-0.050595585,4.9499998,6.1476111,1
4.9685969,12099.977,0,4.96,6.2650347,0.052491046,1.401282,118.88319,-0.0364444,4.9499998,6.1476111,1
4.9687967,12099.977,0,4.96,6.2763348,0.053745262,1.401282,119.65124,-0.024060752,4.9499998,6.1476111,1
4.968997,12099.977,0,4.96,6.2857771,0.055001553,1.401282,120.21093,-0.013493511,4.9499998,6.1476111,1
4.9691968,12099.977,0,4.96,6.2933273,0.056259546,1.401282,120.59161,-0.0047843861,4.9499998,6.1476111,1
4.9693966,12099.977,0,4.96,6.2989588,0.057518858,1.401282,120.82542,0.0020322483,4.9499998,6.1476111,1
4.9695969,12099.977,0,4.96,6.3026519,0.058779102,1.401282,120.94688,0.0069294884,4.9499998,6.1476111,1
4.9697967,12099.977,0,4.96,6.3043957,0.060039889,1.401282,120.9922,0.0098880036,4.9499998,6.1476111,1
4.9699969,12099.977,0,4.96,6.3041859,0.061300829,1.401282,120.99886,0.010896125,4.9499998,6.1476111,1
4.9699998,12099.977,0,4.96,6.3041668,0.061320804,1.401282,120.99886,0.01089637,4.9499998,6.1476111,1
4.9699998,12099.887,0,4.96,6.3041668,0,1.089637,0,0,4.9499998,6.1320801,1
4.9699998,12099.887,0,4.96,6.3041668,1.5668361e-11,1.089637,1.4922325e-16,-1.9258222e-14,4.9499998,6.1320801,1
4.9699998,12099.887,0,4.96,6.3041668,1.5668361e-11,1.089637,1.4922325e-16,-1.9258222e-14,4.9699998,6.1320801,1
4.9701967,12099.887,0,4.96,6.3020267,0.0012407292,1.089637,0.0060675968,-0.00094649574,4.9699998,6.1320801,1
4.970397,12099.887,0,4.96,6.2979293,0.0025008069,1.089637,0.049603399,-0.0038433825,4.9699998,6.1320801,1
4.9705968,12099.887,0,4.96,6.2919126,0.0037598726,1.089637,0.1680911,-0.0086794905,4.9699998,6.1320801,1
4.9707971,12099.887,0,4.96,6.2840037,0.0050175455,1.089637,0.3978312,-0.015435722,4.9699998,6.1320801,1
4.9709969,12099.887,0,4.96,6.2742372,0.0062734499,1.089637,0.7733705,-0.02408541,4.9699998,6.1320801,1
4.9711967,12099.887,0,4.96,6.2626538,0.0075272187,1.089637,1.3269559,-0.034594417,4.9699998,6.1320801,1
4.9713969,12099.887,0,4.96,6.2493024,0.0087784929,1.089637,2.0880246,-0.046921268,4.9699998,6.1320801,1
4.9715967,12099.887,0,4.96,6.2342386,0.010026924,1.089637,3.0827425,-0.061017305,4.9699998,6.1320801,1
4.971797,12099.887,0,4.96,6.217525,0.011272177,1.089637,4.3335905,-0.0768269,4.9699998,6.1320801,1
4.9719968,12099.887,0,4.96,6.1992302,0.012513927,1.089637,5.8590102,-0.094287649,4.9699998,6.1320801,1
4.9721971,12099.887,0,4.96,6.1794291,0.013751866,1.089637,7.6731114,-0.11333063,4.9699998,6.1320801,1
4.9723969,12099.887,0,4.96,6.1582036,0.014985702,1.089637,9.7854528,-0.1338807,4.9699998,6.1320801,1
4.9725971,12099.887,0,4.96,6.1356392,0.016215157,1.089637,12.200888,-0.15585674,4.9699998,6.1320801,1
4.9727969,12099.887,0,4.96,6.1118288,0.017439971,1.089637,14.91949,-0.17917202,4.9699998,6.1320801,1
4.9729972,12099.887,0,4.96,6.0868683,0.018659908,1.089637,17.936552,-0.20373452,4.9699998,6.1320801,1
4.973197,12099.887,0,4.96,6.0608597,0.019874746,1.089637,21.242657,-0.22944729,4.9699998,6.1320801,1
4.9733968,12099.887,0,4.96,6.0339084,0.021084284,1.089637,24.823832,-0.25620884,4.9699998,6.1320801,1
4.973597,12099.887,0,4.96,6.0061235,0.022288349,1.089637,28.661766,-0.28391355,4.9699998,6.1320801,1
4.9737968,12099.887,0,4.96,5.9776173,0.023486782,1.089637,32.734093,-0.31245208,4.9699998,6.1320801,1
4.9739971,12099.887,0,4.96,5.9485049,0.02467945,1.089637,37.014759,-0.34171179,4.9699998,6.1320801,1
4.9741969,12099.887,0,4.96,5.9189048,0.025866246,1.089637,41.474419,-0.37157717,4.9699998,6.1320801,1
4.9743972,12099.887,0,4.96,5.8889356,0.027047081,1.089637,46.080902,-0.40193039,4.9699998,6.1320801,1
