"Time","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia.w","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia.phi","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.is[2]","transformer.l2sigma.inductor[1].i","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.is[1]","transformer.l2sigma.inductor[3].i"
2.0082979,0.17433944,122.32209,-0.54042614,133.18526,-0.13204201,-33.323849,0.0087847495,0.060000896,584.22144,-0.017249851
2.0083981,0.1753315,122.34731,-0.53861719,133.19749,-0.14526708,-18.446764,0.0083140712,0.06227335,575.95551,-0.017247206
2.008498,0.17632473,122.37234,-0.53638947,133.20973,-0.15844625,-3.6052396,0.0078351852,0.064537242,567.29047,-0.01722754
2.0085981,0.17731875,122.39713,-0.53374469,133.22197,-0.1715664,11.185035,0.007348564,0.066792108,558.23615,-0.017190868
2.008698,0.17831326,122.4217,-0.53068495,133.23422,-0.18461446,25.908476,0.0068546878,0.069037504,548.80255,-0.017137229
2.0087979,0.17930789,122.44603,-0.52721268,133.24646,-0.19757746,40.549599,0.0063540442,0.071272992,539.00018,-0.017066678
2.008898,0.18030229,122.47012,-0.52333093,133.25871,-0.2104425,55.093067,0.0058471276,0.073498122,528.8399,-0.016979281
2.0089979,0.18129613,122.49396,-0.51904285,133.27095,-0.22319679,69.523697,0.0053344378,0.075712495,518.33289,-0.016875124
2.0090981,0.18228899,122.51753,-0.51435226,133.2832,-0.23582762,83.826447,0.0048164809,0.077915691,507.49057,-0.016754312
2.009198,0.18328054,122.54084,-0.50926328,133.29546,-0.24832244,97.986481,0.0042937682,0.080107309,496.32486,-0.016616965
2.0092981,0.18427041,122.56387,-0.50378025,133.30771,-0.26066881,111.98914,0.0037668152,0.082286961,484.84784,-0.016463216
2.009398,0.18525821,122.58662,-0.49790815,133.31998,-0.27285448,125.81996,0.0032361427,0.084454268,473.07196,-0.016293218
2.0094981,0.18624356,122.6091,-0.49165219,133.33223,-0.28486726,139.46474,0.0027022741,0.086608872,461.00992,-0.016107138
2.009598,0.18722609,122.63128,-0.48501804,133.3445,-0.29669526,152.90947,0.0021657359,0.088750415,448.67468,-0.01590516
2.0096982,0.18820538,122.65317,-0.47801167,133.35677,-0.30832666,166.14041,0.0016270584,0.090878546,436.0795,-0.015687484
2.009798,0.18918106,122.67476,-0.47063947,133.36903,-0.31974989,179.14409,0.0010867728,0.092992939,423.23785,-0.015454325
2.0098979,0.19015275,122.69604,-0.46290815,133.3813,-0.3309536,191.9073,0.0005454123,0.095093273,410.16336,-0.015205912
2.0099981,0.19112003,122.71703,-0.45482475,133.39357,-0.34192657,204.41714,3.5113537e-06,0.097179227,396.87,-0.014942491
2.010098,0.19208249,122.7377,-0.44639674,133.40584,-0.35265797,216.66098,-0.00053839525,0.099250518,383.37183,-0.014664322
2.0101981,0.19303977,122.75806,-0.43763185,133.41812,-0.36313704,228.62654,-0.0010797727,0.10130684,369.68311,-0.014371678
2.010298,0.19399144,122.77811,-0.42853814,133.43039,-0.3733533,240.30182,-0.0016200867,0.10334793,355.8183,-0.01406485
2.0103981,0.1949371,122.79784,-0.41912407,133.44267,-0.38329667,251.6752,-0.0021588039,0.10537352,341.79196,-0.01374414
2.010498,0.19587633,122.81726,-0.40939832,133.45496,-0.39295712,262.73538,-0.0026953926,0.10738335,327.61884,-0.013409864
2.0105982,0.19680874,122.83636,-0.39936996,133.46724,-0.40232509,273.47144,-0.0032293235,0.10937718,313.31375,-0.013062353
2.0106981,0.19773391,122.85516,-0.38904825,133.47952,-0.41139117,283.87277,-0.0037600691,0.11135478,298.89163,-0.012701949
2.010798,0.19865145,122.87363,-0.37844282,133.49181,-0.42014635,293.92923,-0.004287106,0.11331593,284.36755,-0.012329008
2.0108981,0.19956093,122.89178,-0.36756358,133.5041,-0.42858183,303.63101,-0.0048099142,0.11526041,269.75656,-0.011943898
2.010998,0.20046194,122.90962,-0.35642064,133.51639,-0.4366892,312.96872,-0.0053279772,0.11718805,255.07385,-0.011546999
2.0110981,0.20135409,122.92715,-0.34502447,133.52869,-0.44446033,321.93332,-0.0058407839,0.11909864,240.33459,-0.011138704
2.011198,0.20223695,122.94437,-0.33338568,133.54097,-0.45188746,330.51627,-0.0063478285,0.120992,225.55402,-0.010719414
2.0112982,0.20311013,122.96127,-0.32151517,133.55327,-0.45896313,338.70935,-0.00684861,0.12286799,210.74736,-0.010289543
2.0113981,0.2039732,122.97787,-0.3094241,133.56557,-0.46568021,346.50488,-0.0073426343,0.12472644,195.92984,-0.0098495176
2.0114982,0.20482579,122.99418,-0.29712382,133.57787,-0.47203198,353.89551,-0.0078294147,0.12656721,181.11665,-0.0093997689
2.0115981,0.20566747,123.01019,-0.2846258,133.59016,-0.47801203,360.87442,-0.0083084693,0.12839018,166.32297,-0.0089407433
2.0116982,0.20649783,123.02589,-0.27194184,133.60248,-0.4836143,367.43518,-0.0087793265,0.13019522,151.56389,-0.0084728925
2.0117981,0.20731649,123.04131,-0.25908384,133.61478,-0.48883316,373.57181,-0.0092415204,0.13198221,136.85448,-0.0079966793
2.011898,0.20812304,123.05645,-0.24606392,133.62708,-0.49366334,379.27884,-0.0096945958,0.13375105,122.20969,-0.0075125722
2.0119982,0.20891708,123.0713,-0.23289427,133.63939,-0.49809992,384.55124,-0.010138106,0.13550168,107.64436,-0.00702105
2.0120981,0.20969823,123.08589,-0.21958734,133.6517,-0.50213838,389.3844,-0.010571612,0.137234,93.173279,-0.0065225977
2.0121982,0.21046609,123.10021,-0.20615563,133.664,-0.50577456,393.77423,-0.010994687,0.13894795,78.811035,-0.0060177073
2.0122981,0.21122026,123.11427,-0.19261181,133.67632,-0.50900483,397.7171,-0.011406912,0.14064348,64.572121,-0.0055068769
2.0123982,0.21196038,123.12807,-0.17896864,133.68863,-0.51182574,401.20987,-0.011807881,0.14232051,50.470852,-0.0049906108
2.0124981,0.21268605,123.14163,-0.16523898,133.70094,-0.51423436,404.24985,-0.012197199,0.14397904,36.521381,-0.004469418
2.0125983,0.21339689,123.15495,-0.15143575,133.71326,-0.51622826,406.83484,-0.012574482,0.14561903,22.737663,-0.003943814
2.0126982,0.21409254,123.16805,-0.13757201,133.72557,-0.51780522,408.96313,-0.012939356,0.14724047,9.1334715,-0.0034143163
2.0127981,0.21477263,123.18092,-0.12366079,133.7379,-0.51896352,410.63351,-0.013291461,0.14884333,-4.2776484,-0.0028814485
2.0128982,0.21543677,123.19357,-0.10971525,133.75021,-0.51970196,411.84521,-0.013630451,0.15042765,-17.482374,-0.0023457359
2.0129981,0.21608464,123.20602,-0.095748521,133.76254,-0.52001953,412.59799,-0.013955991,0.15199341,-30.467617,-0.0018077075
2.0130982,0.21671586,123.21828,-0.081773795,133.77486,-0.51991576,412.89203,-0.014267758,0.15354064,-43.220547,-0.0012678943
