"Time","pulse2m.twomPulse.timerNegative[1].entryTime","rectifier.thyristor_n.idealThyristor[1].off","rectifier.thyristor_n.idealThyristor[3].off","meanCurrent.y","meanVoltage.y","rectifier.thyristor_p.idealThyristor[1].off","rectifier.thyristor_p.idealThyristor[3].off","pulse2m.twomPulse.timerNegative[3].entryTime","pulse2m.twomPulse.timerNegative[2].entryTime","pulse2m.twomPulse.timerPositive[1].entryTime","inductor.i","rootMeanSquareVoltage.mean.x","meanVoltage.x","rootMeanSquareVoltage.mean.y","pulse2m.twomPulse.timerPositive[2].entryTime","rectifier.thyristor_p.idealThyristor[2].off","pulse2m.twomPulse.timerPositive[3].entryTime","meanCurrent.x","rectifier.thyristor_n.idealThyristor[2].off"
4.9665966,4.9533334,1,1,13.206032,1.7906015,1,1,4.9466667,4.96,4.9633331,13.216872,6.9857516,0.0053300248,2096.29,4.9499998,1,4.9566665,0.043069415,0
4.9666667,4.9533334,1,1,13.206032,1.7906015,1,1,4.9466667,4.96,4.9633331,13.216688,6.9860244,0.0054496429,2096.29,4.9499998,1,4.9566665,0.043994173,0
4.9666667,4.9533334,1,1,13.206032,1.7906015,1,1,4.9466667,4.96,4.9633331,13.216688,6.9860244,0.0054496429,2096.29,4.9499998,1,4.9566665,0.043994192,0
4.9666667,4.9533334,1,1,13.198257,1.6348928,1,1,4.9466667,4.96,4.9633331,13.216688,0,0,2095.8074,4.9499998,1,4.9566665,0,0
4.9666667,4.9533334,1,1,13.198257,1.6348928,1,1,4.9466667,4.96,4.9633331,13.216688,3.6402313e-17,-9.5072223e-15,2095.8074,4.9499998,1,4.9566665,3.2817159e-11,0
4.9666667,4.9533334,1,1,13.198257,1.6348928,1,1,4.9666667,4.96,4.9633331,13.216688,3.6402313e-17,-9.5072223e-15,2095.8074,4.9499998,1,4.9566665,3.2817159e-11,0
4.9667969,4.9533334,1,1,13.198257,1.6348928,1,1,4.9666667,4.96,4.9633331,13.215713,0.0017506416,-0.00041316805,2095.8074,4.9499998,1,4.9566665,0.0017186193,0
4.9669967,4.9533334,1,1,13.198257,1.6348928,1,1,4.9666667,4.96,4.9633331,13.212609,0.028561678,-0.0026594545,2095.8074,4.9499998,1,4.9566665,0.0043615885,0
4.9671969,4.9533334,1,1,13.198257,1.6348928,1,1,4.9666667,4.96,4.9633331,13.207578,0.11790778,-0.0068496382,2095.8074,4.9499998,1,4.9566665,0.0070037437,0
4.9673967,4.9533334,1,1,13.198257,1.6348928,1,1,4.9666667,4.96,4.9633331,13.200643,0.3065502,-0.012967167,2095.8074,4.9499998,1,4.9566665,0.0096447021,0
4.9675965,4.9533334,1,1,13.198257,1.6348928,1,1,4.9666667,4.96,4.9633331,13.191836,0.62968349,-0.020987898,2095.8074,4.9499998,1,4.9566665,0.012284085,0
4.9677968,4.9533334,1,1,13.198257,1.6348928,1,1,4.9666667,4.96,4.9633331,13.181198,1.1203816,-0.030880174,2095.8074,4.9499998,1,4.9566665,0.014921524,0
4.9679966,4.9533334,1,1,13.198257,1.6348928,1,1,4.9666667,4.96,4.9633331,13.168773,1.8090726,-0.042604949,2095.8074,4.9499998,1,4.9566665,0.017556654,0
4.9681969,4.9533334,1,1,13.198257,1.6348928,1,1,4.9666667,4.96,4.9633331,13.154614,2.7230644,-0.056115951,2095.8074,4.9499998,1,4.9566665,0.020189125,0
4.9683018,4.9533334,1,1,13.198257,1.6348928,1,1,4.9666667,4.96,4.9633331,13.146518,3.3005009,-0.063896686,2095.8074,4.9499998,1,4.9566665,0.021568291,0
4.9683018,4.9533334,1,1,13.198257,1.6348928,0,1,4.9666667,4.96,4.9633331,13.146518,3.3005009,-0.063896686,2095.8074,4.9499998,1,4.9566665,0.021568291,1
4.9683332,4.9533334,1,1,13.198257,1.6348928,0,1,4.9666667,4.96,4.9633331,13.148911,3.4955883,-0.061410043,2095.8074,4.9499998,1,4.9566665,0.021985032,1
