"time","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.is[1]","aimc.is[2]","loadInertia.phi","loadInertia.w","transformer.l2sigma.inductor[1].i","transformer.l2sigma.inductor[3].i"
1.5747,0.11647695301659627,-0.00062296577725882974,0.1149243993256415,-0.20302117670638117,-266.11953288668883,275.30245154241652,83.787087654799763,105.42902243777759,256.91840870193528,284.49336721534058
1.5747500000000001,0.11648236136561475,-1.9407019491643023e-05,0.11809856837494542,-0.20119128545012474,-268.6657550340297,272.93287889256624,83.792359163272451,105.43131645003058,264.38040790516106,277.20825641374029
1.5748,0.11648464228093629,0.00058416436673934806,0.12124360803950003,-0.19931177113760518,-271.1455016176505,270.49589362803215,83.797630786442895,105.43361034886182,271.77687298680303,269.8547940055949
1.5748500000000001,0.11648379591527833,0.0011877321763858095,0.12435874266531505,-0.19738309747442084,-273.55816131862423,267.99209999639646,83.802902524305438,105.43590413427032,279.10597721987045,262.4347995990575
1.5749,0.11647982250523588,0.0017912802070216046,0.12744320392733863,-0.19540574019048204,-275.90313934260615,265.42211857227039,83.80817437685441,105.43819780625498,286.36591046643758,254.95010905370196
1.5749500000000001,0.11647272237120598,0.0023947922592912276,0.13049623098176624,-0.1933801868570334,-278.17985750801319,262.78658598505791,83.813446344084184,105.44049136481478,293.55487954028996,247.40257393441408
1.5750000000000002,0.11646249591767416,0.0029982521373551367,0.13351707087751,-0.19130693720128886,-280.38775474018126,260.08615552795703,83.818718425989033,105.44278480994862,300.67110915623914,239.79406168783257
1.5750500000000001,0.11644914363293522,0.003601643649310492,0.13650497856583133,-0.18918650264197456,-282.52628693301466,257.32149639411119,83.823990622563286,105.44507814165546,307.71284197009271,232.12645468306283
1.5751000000000002,0.1164326660889468,0.0042049506076188674,0.13945921699303618,-0.18701940601304098,-284.59492694005507,254.49329323527979,83.829262933801317,105.44737135993427,314.67833880553735,224.40164954262585
1.5751500000000001,0.11641306394167733,0.0048081568295620285,0.14237905758081112,-0.18480618195086657,-286.59316517335861,251.60224692804951,83.834535359697412,105.44966446478391,321.56587976166799,216.62155738889291
1.5752000000000002,0.11639033793081369,0.0054112461376710627,0.14526378020965949,-0.18254737642041599,-288.52050942071241,248.64907378134541,83.839807900245916,105.45195745620339,328.37376419206436,208.78810289543583
1.57525,0.11636448887955753,0.0060142023601164598,0.1481126732541084,-0.18024354636796164,-290.37648474331371,245.63450495834024,83.845080555441143,105.45425033419161,335.10031080000874,200.9032235382447
1.5753000000000001,0.11633551769501438,0.0066170093312146868,0.15092503412422112,-0.17789526014971849,-292.16063416750495,242.55928735172751,83.850353325277439,105.45654309874756,341.74385888745314,192.96886985725058
1.57535,0.1163034253678821,0.0072196508918068438,0.15370016921378246,-0.17550309704070388,-293.87251844383763,239.42418274515904,83.855626209749104,105.45883574987012,348.30276825234165,184.98700451242405
1.5754000000000001,0.1162682129722699,0.0078221108896974409,0.15643739394670592,-0.17306764692565632,-295.51171595937529,236.22996730080811,83.860899208850554,105.46112828755825,354.77541930853783,176.95960160035636
1.57545,0.11622988166597353,0.008424373180099547,0.15913603324038467,-0.17058951056328886,-297.07782330413482,232.97743215521587,83.866172322575991,105.46342071181088,361.16021415840686,168.88864666861284
1.5755000000000001,0.11618843269028555,0.0090264216260782255,0.16179542154898155,-0.16806929926416583,-298.57045517668547,229.66738289013728,83.871445550919844,105.46571302262697,367.45557670595804,160.77613600919364
1.57555,0.11614386736979056,0.0096282400989359494,0.16441490287944177,-0.16550763455257278,-299.98924424650568,226.30063896232991,83.876718893876387,105.46800522000545,373.65995270682976,152.62407595030237
1.5756000000000001,0.11609618711250221,0.010229812478687999,0.16699383114228372,-0.16290514825151017,-301.33384154103464,222.87803397270403,83.881992351439962,105.47029730394524,379.77181058463776,144.43448263227711
