"Time","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","PI.x","loadInertia.w","aimc.airGap.V_mrr.re","aimc.airGap.V_mrr.im","aimc.stator.port_p.V_m.im","aimc.airGap.V_msr.re","aimc.is[2]","aimc.stator.core.Phi.im","aimc.stator.core.Phi.re","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","powerSensor.flange_a.phi","aimc.is[1]","aimc.stator.port_p.V_m.re","aimc.airGap.V_msr.im"
4.5095983,1.1274956,8.9543209,157.03699,0.18265523,-0.15393656,3.3660526,4.905097,-0.20863862,-0.71341509,-1.6512964,1.3495308,708.19476,7.3387465,7.2023835,6.2565694
4.5096979,1.1274854,9.1248388,157.03688,0.1827562,-0.15399115,3.590719,4.9049463,0.053978752,-0.76493239,-1.628072,1.3495395,708.21051,7.2095332,7.0930314,6.2566652
4.509798,1.127475,9.2965889,157.03679,0.18285897,-0.15404706,3.8118391,4.9047933,0.31654435,-0.81569481,-1.603241,1.3495481,708.2262,7.0731969,6.9766722,6.2567625
4.5098982,1.1274648,9.4695597,157.03668,0.18296354,-0.15410429,4.0291948,4.9046388,0.57879877,-0.86565214,-1.5768275,1.3495568,708.24188,6.9298735,6.8534207,6.2568607
4.5099978,1.1274545,9.6437407,157.03658,0.18306988,-0.15416281,4.2425714,4.9044824,0.84048301,-0.91475517,-1.5488579,1.3495655,708.25763,6.7797031,6.7233987,6.2569604
4.510098,1.1274441,9.8191204,157.03647,0.18317802,-0.15422259,4.4517574,4.9043236,1.1013384,-0.96295542,-1.5193597,1.3495742,708.27332,6.6228347,6.5867343,6.2570615
4.5101981,1.1274339,9.9956903,157.03636,0.18328796,-0.15428364,4.6565466,4.9041634,1.3611075,-1.0102053,-1.4883621,1.3495828,708.289,6.4594226,6.443562,6.257164
4.5102983,1.1274235,10.173437,157.03625,0.18339975,-0.15434596,4.8567362,4.9040008,1.6195334,-1.0564581,-1.4558955,1.3495915,708.30475,6.2896285,6.294024,6.2572675
4.5103979,1.1274132,10.352352,157.03615,0.18351342,-0.15440963,5.0521288,4.9038367,1.876361,-1.1016682,-1.4219922,1.3496002,708.32043,6.1136203,6.138267,6.2573729
4.510498,1.1274029,10.532424,157.03604,0.18362898,-0.15447471,5.2425313,4.9036703,2.1313367,-1.1457912,-1.3866854,1.3496089,708.33612,5.9315705,5.9764457,6.2574797
4.5105982,1.1273925,10.713643,157.03593,0.18374644,-0.15454119,5.4277549,4.903502,2.3842082,-1.1887833,-1.35001,1.3496176,708.35181,5.74366,5.8087187,6.2575874
4.5106978,1.1273822,10.895996,157.03583,0.18386576,-0.15460894,5.6076169,4.9033318,2.6347258,-1.2306021,-1.3120024,1.3496263,708.36755,5.5500736,5.6352525,6.2576971
4.510798,1.1273718,11.079475,157.03571,0.1839869,-0.15467794,5.7819395,4.9031596,2.8826418,-1.2712065,-1.2727,1.349635,708.38324,5.3510027,5.4562178,6.2578077
4.5108981,1.1273615,11.264069,157.0356,0.18411,-0.15474847,5.9505501,4.9029856,3.1277115,-1.3105563,-1.2321415,1.3496437,708.39893,5.1466436,5.2717915,6.2579203
4.5109982,1.1273512,11.449765,157.03549,0.18423502,-0.15482044,6.1132827,4.9028096,3.3696928,-1.3486125,-1.190367,1.3496525,708.41467,4.9371986,5.0821557,6.2580338
4.5110979,1.1273408,11.636555,157.03537,0.18436193,-0.15489367,6.2699752,4.9026313,3.608346,-1.3853379,-1.1474177,1.3496612,708.43036,4.7228742,4.8874979,6.2581491
4.511198,1.1273304,11.824428,157.03525,0.18449074,-0.15496817,6.4204731,4.902451,3.8434355,-1.420696,-1.103336,1.3496699,708.44604,4.5038815,4.6880102,6.2582655
4.5112982,1.1273201,12.013373,157.03514,0.18462148,-0.15504397,6.5646281,4.9022689,4.074729,-1.4546521,-1.0581654,1.3496786,708.46173,4.2804375,4.4838891,6.2583833
4.5113978,1.1273096,12.203381,157.03502,0.18475419,-0.1551211,6.7022967,4.9020848,4.3019977,-1.4871724,-1.0119505,1.3496873,708.47748,4.0527625,4.2753367,6.2585025
4.511498,1.1272992,12.39444,157.0349,0.18488888,-0.15519962,6.8333435,4.9018984,4.5250173,-1.518225,-0.96473694,1.349696,708.49316,3.8210814,4.0625591,6.2586231
4.5115981,1.1272887,12.58654,157.03479,0.18502557,-0.15527952,6.9576387,4.9017096,4.743567,-1.5477792,-0.91657126,1.3497049,708.50885,3.585623,3.8457661,6.2587457
4.5116982,1.1272783,12.779672,157.03467,0.1851643,-0.15536086,7.0750589,4.9015188,4.9574308,-1.5758059,-0.86750096,1.3497136,708.5246,3.3466198,3.6251714,6.2588692
4.5117979,1.1272677,12.973824,157.03455,0.1853051,-0.1554437,7.1854882,4.9013252,5.1663976,-1.6022774,-0.8175745,1.3497223,708.54028,3.1043077,3.4009933,6.2589941
4.511898,1.1272571,13.168983,157.03442,0.18544799,-0.15552805,7.2888174,4.9011297,5.3702602,-1.6271675,-0.76684111,1.349731,708.55597,2.8589258,3.1734531,6.2591205
4.5119982,1.1272465,13.365143,157.0343,0.18559301,-0.15561415,7.384944,4.9009318,5.5688181,-1.6504517,-0.71535093,1.3497396,708.57166,2.6107171,2.9427757,6.2592487
4.5120983,1.1272359,13.562289,157.03418,0.18574019,-0.15570205,7.4737735,4.9007316,5.7618742,-1.672107,-0.66315484,1.3497483,708.5874,2.3599262,2.7091889,6.2593794
4.512198,1.1272254,13.760412,157.03406,0.18588956,-0.15579191,7.5552182,4.9005294,5.9492383,-1.6921121,-0.6103043,1.3497571,708.60309,2.1068015,2.4729235,6.2595115
4.5122981,1.1272148,13.9595,157.03394,0.1860411,-0.15588343,7.6291966,4.9003248,6.1307249,-1.7104472,-0.55685145,1.3497658,708.61877,1.8515925,2.2342129,6.2596455
4.5123982,1.1272043,14.159543,157.0338,0.18619481,-0.15597667,7.6956353,4.9001179,6.3061538,-1.7270942,-0.5028491,1.3497745,708.63452,1.5945516,1.9932929,6.2597814
4.5124979,1.1271937,14.360529,157.03368,0.18635067,-0.1560715,7.7544689,4.899909,6.4753518,-1.7420368,-0.44835052,1.3497832,708.65021,1.3359329,1.7504019,6.2599192
4.512598,1.1271832,14.562448,157.03355,0.18650866,-0.15616803,7.8056388,4.8996978,6.6381512,-1.7552601,-0.39340946,1.3497919,708.66589,1.0759917,1.5057794,6.2600584
4.5126982,1.1271726,14.765288,157.03342,0.18666872,-0.15626609,7.8490944,4.8994846,6.7943916,-1.7667511,-0.3380802,1.3498007,708.68164,0.81498528,1.2596676,6.2601995
4.5127983,1.1271621,14.969041,157.03329,0.18683079,-0.15636557,7.8847923,4.8992691,6.9439178,-1.7764984,-0.28241733,1.3498094,708.69733,0.5531714,1.0123097,6.2603421
4.512898,1.1271515,15.173694,157.03316,0.18699494,-0.15646656,7.9126968,4.8990517,7.0865812,-1.7844926,-0.22647572,1.3498182,708.71301,0.29080877,0.76394999,6.2604861
4.5129981,1.1271409,15.379239,157.03304,0.18716118,-0.15656902,7.9327807,4.8988318,7.2222419,-1.7907255,-0.17031063,1.3498269,708.7287,0.02815664,0.51483399,6.2606316
