"time","smee.excitation.electroMagneticConverter.Phi.re","smee.inertiaRotor.phi","smee.inertiaRotor.w","smee.is[1]","smee.is[2]","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im"
0.34140000000000004,-0.21292112761293544,38.983056301098287,157.08387345457535,-86.082301530009346,14.780761984542796,-0.21322219353973243,-0.36404108143810354,0.40431869044510871,0.19986805027559393
0.34145000000000003,-0.21292733267285857,38.990910442929341,157.08180035553767,-85.549691955380624,13.337349156706864,-0.21322859167555025,-0.36403699112744087,0.4011290790074018,0.20619224886515816
0.34150000000000003,-0.21293353038709542,38.998764481190499,157.07973066587365,-84.995482712359632,11.890550621933688,-0.21323497537520381,-0.36403291106192898,0.39784053913108947,0.21246555028844544
0.34155000000000002,-0.21293972062881489,39.006618416053257,157.07766442645246,-84.419806758537931,10.440733032393004,-0.21324134451961421,-0.36402884131932473,0.39445388161304779,0.21868640651541721
0.34160000000000001,-0.21294590327157162,39.014472247691131,157.07560167799397,-83.822809522867132,8.9882659810714163,-0.21324769899023485,-0.36402478197700339,0.39096994433875576,0.22485328347941944
0.34165000000000001,-0.21295207818930081,39.022325976279731,157.07354246107096,-83.204639389927252,7.5335190985028451,-0.21325403866904405,-0.36402073311196492,0.38738958810111085,0.23096466009035124
0.3417,-0.21295824525632262,39.030179601996601,157.07148681610749,-82.565450891635919,6.0768628937745817,-0.21326036343855012,-0.36401669480083004,0.38371369773861741,0.23701902908296968
0.34175,-0.21296440434733885,39.038033125021364,157.06943478338044,-81.905397525726102,4.6186670518375657,-0.21326667318178572,-0.36401266711984454,0.37994317895048618,0.24301489610855712
0.34179999999999999,-0.21297055533744366,39.045886545535637,157.06738640301563,-81.224642464818501,3.1593027324340097,-0.21327296778232063,-0.36400865014486999,0.37607896255815632,0.24895078204748136
0.34185000000000004,-0.21297669810212497,39.053739863723038,157.06534171498734,-80.523357637672433,1.6991422732128898,-0.21327924712426191,-0.36400464395138232,0.37212200388453104,0.25482522320997392
0.34190000000000004,-0.21298283251726252,39.061593079769153,157.06330075911927,-79.801718701282596,0.23855796305377014,-0.21328551109225119,-0.3640006486144754,0.3680732804486524,0.26063677080821368
0.34195000000000003,-0.21298895845913191,39.06944619386163,157.06126357508327,-79.059907268262052,-1.2220775614812127,-0.21329175957146834,-0.36399666420885785,0.36393379266480536,0.26638399172804311
0.34200000000000003,-0.21299507580439878,39.077299206190013,157.05923020240152,-78.298101662915457,-2.6823927964496974,-0.21329799244762387,-0.36399269080885893,0.35970455981308191,0.27206546689585376
0.34205000000000002,-0.21300118443013602,39.085152116945871,157.05720068044025,-77.516494531178182,-4.1420148394779392,-0.21330420960697838,-0.36398872848841374,0.35538662707224777,0.2776797954649467
0.34210000000000002,-0.21300728421381743,39.093004926322699,157.05517504841242,-76.715283142165887,-5.600570933788469,-0.21331041093633449,-0.36398477732106893,0.35098106126244638,0.28322559306258982
0.34215000000000001,-0.21301337503331991,39.100857634515997,157.05315334537693,-75.894669348784674,-7.0576885785199082,-0.21331659632303823,-0.36398083737998238,0.34648895058966644,0.28870149214223384
0.3422,-0.21301945676692641,39.108710241723195,157.05113561023771,-75.054860592521251,-8.5129954737623859,-0.21332276565498201,-0.36397690873792093,0.34191140480843413,0.29410614255021095
0.34225,-0.21302552929331858,39.116562748143629,157.04912188174643,-74.196059216043807,-9.966120374556894,-0.21332891882059485,-0.36397299146726825,0.33724955062025896,0.29943820914719893
0.34229999999999999,-0.21303159249159948,39.124415153978603,157.04711219849463,-73.318485958366665,-11.41669154367349,-0.21333505570886854,-0.36396908564000346,0.33250454100491511,0.30469637817092021
0.34235000000000004,-0.21303764624128005,39.13226745943134,157.04510659891849,-72.422362241693477,-12.864338095018212,-0.21334117620934095,-0.36396519132771571,0.32767754771345114,0.30987935303479425
0.34240000000000004,-0.21304369042228533,39.140119664707015,157.04310512129683,-71.507914858076575,-14.308689773134272,-0.2133472802121022,-0.36396130860159837,0.32276976291662618,0.31498585587050854
0.34245000000000003,-0.21304972491495511,39.147971770012639,157.04110780375098,-70.575374654175889,-15.749377036652607,-0.21335336760779494,-0.36395743753244925,0.31778239839964434,0.32001462746853065
