"Time","rectifier.thyristor_p2.off","pulse2.twoPulse.timerPositive[1].entryTime","rectifier.thyristor_n1.off","meanCurrent.y","meanVoltage.y","dcpm.inertiaRotor.phi","inductor.i","pulse2.twoPulse.filter[1].transferFunction[2].x_scaled[1]","rootMeanSquareVoltage.mean.x","dcpm.inertiaRotor.w","meanVoltage.x","rootMeanSquareVoltage.mean.y","pulse2.twoPulse.filter[1].transferFunction[1].x_scaled[1]","rectifier.thyristor_n2.off","rectifier.thyristor_p1.off","pulse2.twoPulse.filter[1].firstOrder.y","meanCurrent.x","lMains.i","pulse2.twoPulse.timerNegative[1].entryTime"
2.459193,0,2.440042,0,99.885269,96.427017,350.85989,104.3629,14.654816,120.36452,143.69096,0.94811165,12079.05,-12.811441,1,1,-91.777008,0.91587842,-104.36369,2.450042
2.4593928,0,2.440042,0,99.885269,96.427017,350.88864,103.61129,15.001699,120.6065,143.69437,0.95504719,12079.05,-13.362631,1,1,-85.021851,0.93667936,-103.61189,2.450042
2.4595928,0,2.440042,0,99.885269,96.427017,350.91739,102.74386,15.28793,120.73386,143.69707,0.96006382,12079.05,-13.85932,1,1,-77.931328,0.95731848,-102.74426,2.450042
2.4597929,0,2.440042,0,99.885269,96.427017,350.94614,101.75949,15.512417,120.78281,143.69899,0.96314216,12079.05,-14.299562,1,1,-70.533646,0.97777236,-101.7597,2.450042
2.4599929,0,2.440042,0,99.885269,96.427017,350.97488,100.65757,15.674314,120.79077,143.70003,0.96427047,12079.05,-14.681638,1,1,-62.858204,0.99801761,-100.65759,2.450042
2.46,0,2.440042,0,99.885269,96.427017,350.97589,100.61653,15.678876,120.79077,143.70004,0.96427464,12079.05,-14.694041,1,1,-62.582607,0.99872804,-100.61654,2.450042
2.46,0,2.440042,0,99.872803,96.42746,350.97589,100.61653,15.678876,0,143.70004,0,12079.077,-14.694041,1,1,-62.582607,0,-100.61654,2.450042
2.4600084,0,2.440042,0,99.872803,96.42746,350.97711,100.5672,15.684235,6.0141423e-07,143.70006,1.7363336e-06,12079.077,-14.708792,1,1,-62.25227,0.00085012562,-100.5672,2.450042
2.4600084,0,2.440042,0,99.872803,96.42746,350.97711,100.5672,15.684235,6.0141423e-07,143.70006,1.7363336e-06,12079.077,-14.708792,1,1,-62.25227,0.00085012574,-100.5672,2.450042
2.460042,0,2.440042,0,99.872803,96.42746,350.9819,100.36995,15.704329,3.3081105e-05,143.70013,-2.5615724e-05,12079.077,-14.766111,1,1,-60.94088,0.0042098826,-100.36992,2.450042
2.460042,0,2.460042,0,99.872803,96.42746,350.9819,100.36995,15.704329,3.3081105e-05,143.70013,-2.5615724e-05,12079.077,-14.766111,1,1,-60.94088,0.0042098826,-100.36992,2.450042
2.460042,0,2.460042,0,99.872803,96.42746,350.9819,100.36995,15.704329,3.3081109e-05,143.70013,-2.5615725e-05,12079.077,-14.766111,1,1,-60.94088,0.0042098826,-100.36992,2.450042
2.460042,0,2.460042,0,99.872803,96.42746,350.9819,100.36995,15.704329,3.3081109e-05,143.70013,-2.5615725e-05,12079.077,-14.766111,0,0,-60.94088,0.0042098826,-100.36992,2.450042
2.4601929,0,2.460042,0,99.872803,96.42746,351.0036,99.486641,15.774074,3.3081258e-05,143.70009,-2.5766682e-05,12079.077,-15.005109,0,0,-55.422543,0.019305473,-94.303001,2.450042
2.460393,0,2.460042,0,99.872803,96.42746,351.03235,98.317726,15.817914,3.3081455e-05,143.69916,-2.5964502e-05,12079.077,-15.275352,0,0,-48.877399,0.039087448,-75.287369,2.450042
2.460593,0,2.460042,0,99.872803,96.42746,351.0611,97.149521,15.813015,3.3081647e-05,143.69724,-2.6159983e-05,12079.077,-15.498796,0,0,-43.105156,0.058635697,-43.899876,2.450042
2.460793,0,2.460042,0,99.872803,96.42746,351.08984,95.982056,15.765661,3.3081833e-05,143.69431,-2.6353131e-05,12079.077,-15.68107,0,0,-38.014576,0.077950358,-0.34060279,2.450042
2.4609931,0,2.460042,0,99.872803,96.42746,351.11859,94.815315,15.681396,3.3082015e-05,143.6904,-2.6543943e-05,12079.077,-15.827147,0,0,-33.525124,0.097031578,55.142807,2.450042
2.4611132,0,2.460042,0,99.872803,96.42746,351.13586,94.114288,15.615039,3.308212e-05,143.68758,-2.6657526e-05,12079.077,-15.899391,0,0,-31.085613,0.10838992,94.114288,2.450042
2.4611132,1,2.460042,1,99.872803,96.42746,351.13586,94.114288,15.615039,3.308212e-05,143.68758,-2.6657526e-05,12079.077,-15.899391,0,0,-31.085613,0.10838992,94.114288,2.450042
2.4611931,1,2.460042,1,99.872803,96.42746,351.14731,93.918037,15.561157,0.24661261,143.68556,0.0044076755,12079.077,-15.937456,0,0,-26.847534,0.11589011,93.919182,2.450042
2.4613931,1,2.460042,1,99.872803,96.42746,351.17606,93.502998,15.372269,1.0147874,143.68021,0.016792297,12079.077,-15.978575,0,0,-16.353205,0.13463186,93.504326,2.450042
2.4615932,1,2.460042,1,99.872803,96.42746,351.2048,93.195557,15.108919,2.0179002,143.67456,0.030948043,12079.077,-15.943596,0,0,-6.0528078,0.15330142,93.19706,2.450042
2.4617932,1,2.460042,1,99.872803,96.42746,351.23352,92.992287,14.774193,3.2784674,143.66869,0.046819296,12079.077,-15.834524,0,0,4.0436778,0.17191996,92.993958,2.450042
