"time","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imc.stator.zeroInductor.i0","imcQS.rotorCage.port_p.reference.gamma","loadInertia.phi","loadInertia.w","loadInertiaQS.phi","loadInertiaQS.w"
1.2176,0.081076933638111179,0.071867543465580108,0.19588942425541039,-0.1461129932013083,-6.1955313150234462e-15,266.61206136649122,55.322166749325419,96.720960220086113,57.954130067311297,99.92801469300764
1.2176500000000001,0.080643681825710675,0.072360405961221175,0.19815963154651081,-0.14301839858496554,-6.9858547117113679e-15,266.61777635791287,55.327002884158873,96.724433098996059,57.959126553234469,99.93142221021391
1.2177,0.080207459226906377,0.0728506289131607,0.20038095619546054,-0.1398885373304975,-6.8723249694084398e-15,266.62349100858972,55.331839192632771,96.727905839264395,57.96412320952998,99.934829587487712
1.2177500000000001,0.079768282091644258,0.073338194567437023,0.20255285074162732,-0.13672418179498375,-5.3050520255245264e-15,266.62920531853587,55.336675674740263,96.731378440886814,57.96912003619088,99.938236824822866
1.2178,0.079326166775236281,0.073823085271304406,0.20467478006990233,-0.13352611298093972,-1.6162950700437565e-15,266.63491928776529,55.341512330474337,96.734850903858913,57.974117033210128,99.941643922213103
1.2178500000000001,0.078881129737756878,0.074305283473913408,0.20674622157645409,-0.13029512037228191,4.9887963169025692e-15,266.64063291629202,55.346349159828108,96.738323228176384,57.979114200580774,99.945050879652342
1.2179,0.078433187540572227,0.07478477172406775,0.2087666632822805,-0.12703199988553388,1.2546867148600125e-14,266.64634620413,55.351186162794619,96.741795413834879,57.984111538295778,99.948457697134316
1.2179500000000001,0.077982356846476641,0.07526153267163449,0.21073560452038984,-0.12373755418480906,1.7081156813423997e-14,266.65205915129326,55.356023339366963,96.745267460830036,57.989109046348162,99.9518643746528
1.218,0.077528654427594185,0.075735549076652697,0.21265256210750233,-0.12041259803502964,2.1082768308136356e-14,266.65777175779567,55.36086068953815,96.748739369157505,57.994106724730898,99.955270912201598
1.2180500000000001,0.077072097155134842,0.076206803800391326,0.21451706367921522,-0.11705795186348363,2.3884907696216716e-14,266.66348402365128,55.365698213301336,96.752211138812967,57.999104573437045,99.958677309774515
1.2181,0.076612702001811139,0.076675279808977523,0.21632864997306417,-0.11367444354106324,2.4658961977798062e-14,266.66919594887423,55.370535910649508,96.755682769792017,58.004102592459546,99.96208356736534
1.2181500000000001,0.076150486041210677,0.077140960174053197,0.21808687497791893,-0.11026290820320711,2.2400699020066316e-14,266.67490753347846,55.375373781575767,96.759154262090334,58.009100781791446,99.965489684967864
1.2181999999999999,0.07568546644492527,0.077603828070956532,0.21979130426719867,-0.10682418669705407,1.8282205104643077e-14,266.68061877747778,55.380211826073186,96.76262561570357,58.014099141425717,99.968895662575846
1.2182500000000001,0.075217660480965412,0.078063866778341748,0.22144151438048956,-0.1033591248215278,1.6638230786401943e-14,266.6863296808865,55.385050044134807,96.766096830627333,58.019097671355382,99.972301500183107
1.2183000000000002,0.074747085523382731,0.07852105968978737,0.22303710113441791,-0.099868579323484682,1.4320463981800304e-14,266.6920402437184,55.389888435753711,96.769567906857347,58.024096371573428,99.975707197783422
