"Time","inertia2.phi","inertia2.w","damper.phi_rel","damper.w_rel","springDamper.phi_rel","springDamper.w_rel","inertia3.phi","inertia3.w","elastoBacklash.phi_rel","elastoBacklash.w_rel","bearingFriction.mode","clutch.phi_rel","clutch.w_rel","clutch.mode","brake.mode","lossyGear.mode","gear2_1.phi_rel","gear2_1.w_rel","gear2_1.lossyGear.mode","inertia8.phi","inertia8.w","position.phi","position.w","speed.phi","speed.w","accelerate.phi","accelerate.w","inertia13.phi","inertia13.w","inertia14.phi","inertia14.w","inertia15.phi","coupling.w","coupling.tau"
0.0057600001,4.2958519e-08,2.2821107e-05,-1.1505159e-06,-0.0001706739,1.5970126e-06,0.00038381314,0.02897259,1.9997613,-1.7023489e-05,-0.005599217,1,-5.756714e-13,-1e-10,0,1,2,0,0,0,0,0,0.012424867,4.5795918,4.2266885e-05,0.01946287,2.0012459e-07,0.00010421913,6.6708196e-08,3.4739711e-05,0.0001216512,0.042240001,0.063359998,1.152,400
0.0059400001,4.7193868e-08,2.4244759e-05,-1.1795021e-06,-0.00015111279,1.6655194e-06,0.00037716236,0.029332547,1.9997544,-1.8044029e-05,-0.0057397126,1,-5.9367138e-13,-1e-10,0,1,2,0,0,0,0,0,0.013259155,4.689362,4.585557e-05,0.020413524,2.1947619e-07,0.00011083383,7.3158731e-08,3.694461e-05,0.00012937321,0.043559998,0.065339997,1.188,400
0.00612,5.1688076e-08,2.5696881e-05,-1.204815e-06,-0.00012986561,1.7327144e-06,0.00036924114,0.029692503,1.9997475,-1.9089639e-05,-0.0058777845,1,-6.1167141e-13,-1e-10,0,1,2,0,0,0,0,0,0.014112738,4.7940006,4.9616272e-05,0.021374045,2.4003685e-07,0.00011765197,8.0012285e-08,3.9217324e-05,0.0001373328,0.044879999,0.067319997,1.224,400
0.0063,5.6446048e-08,2.7174998e-05,-1.2261509e-06,-0.00010692294,1.7983685e-06,0.00036004177,0.030052457,1.9997406,-2.0159881e-05,-0.0060134055,1,-6.2967139e-13,-1e-10,0,1,2,0,0,0,0,0,0.014984701,4.893599,5.3550721e-05,0.022343889,2.618431e-07,0.00012467353,8.7281038e-08,4.1557843e-05,0.00014553001,0.0462,0.069300003,1.26,400
0.00648,6.1472221e-08,2.8676484e-05,-1.2432039e-06,-8.2276914e-05,1.8622515e-06,0.00034955764,0.030412409,1.9997337,-2.1254313e-05,-0.0061465502,1,-6.4767137e-13,-1e-10,0,1,2,0,0,0,0,0,0.015874146,4.9882622,5.7660545e-05,0.023322545,2.8493156e-07,0.0001318985,9.4977182e-08,4.3966171e-05,0.00015396481,0.04752,0.071280003,1.296,400
0.00666,6.677061e-08,3.0198593e-05,-1.2556671e-06,-5.5920995e-05,1.9241313e-06,0.00033778322,0.03077236,1.9997269,-2.2372487e-05,-0.0062771952,1,-6.656714e-13,-1e-10,0,1,2,0,0,0,0,0,0.016780194,5.078105,6.1947292e-05,0.024309518,3.0933879e-07,0.00013932689,1.0311293e-07,4.6442299e-05,0.0001626372,0.048840001,0.073260002,1.332,400
0.0068399999,7.2344669e-08,3.1738415e-05,-1.2632324e-06,-2.7850359e-05,1.9837755e-06,0.00032471426,0.031132311,1.9997201,-2.3513951e-05,-0.0064053172,1,-6.8367138e-13,-1e-10,0,1,2,0,0,0,0,0,0.017701987,5.1632547,6.6412424e-05,0.025304351,3.3510142e-07,0.00014695867,1.1170048e-07,4.8986225e-05,0.0001715472,0.050159998,0.075240001,1.368,400
0.0070199999,7.8197296e-08,3.3292894e-05,-1.2655905e-06,1.9382462e-06,2.0409507e-06,0.00031034759,0.031492259,1.9997133,-2.4678249e-05,-0.0065308963,1,-7.0167141e-13,-1e-10,0,1,2,0,0,0,0,0,0.018638695,5.2438455,7.1057308e-05,0.026306609,3.6225612e-07,0.00015479384,1.2075203e-07,5.1597948e-05,0.0001806948,0.051479999,0.07722,1.404,400
0.0071999999,8.4330807e-08,3.4858851e-05,-1.2624324e-06,3.344662e-05,2.0954235e-06,0.00029468123,0.031852208,1.9997065,-2.5864922e-05,-0.0066539119,1,-7.1967139e-13,-1e-10,0,1,2,0,0,0,0,0,0.019589508,5.3200169,7.5883247e-05,0.027315877,3.908394e-07,0.0001628324,1.302798e-07,5.4277461e-05,0.00019008,0.0528,0.0792,1.4400001,400
0.0073799998,9.0746951e-08,3.6432946e-05,-1.2534484e-06,6.6674962e-05,2.1469596e-06,0.00027771437,0.032212153,1.9996997,-2.7073505e-05,-0.0067743463,1,-7.3767137e-13,-1e-10,0,1,2,0,0,0,0,0,0.020553647,5.3919148,8.089147e-05,0.028331773,4.2088794e-07,0.00017107429,1.4029598e-07,5.7024768e-05,0.0001997028,0.05412,0.081179999,1.476,400
