"time","loadInertia3.phi","loadInertia3.w","loadInertiaM.phi","loadInertiaM.w","smr3.is[1]","smr3.is[2]","smr3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smr3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smr3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smr3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smrM.is[1]","smrM.is[2]","smrM.is[3]","smrM.is[4]","smrM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smrM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","vfController3.x","vfControllerM.x"
1.131,95.098985051269523,158.14681639784087,95.098985051269523,158.14681639784095,-12.335513868047066,50.128798167356521,-0.42471822482676541,-0.088728338489975106,0.1439497342353141,-0.42698141799486022,-7.4013083208283099,26.679296022161306,23.890020058451238,-11.914451634134929,-0.42471822482676552,-0.088728338489975037,0.14394973423531363,-0.42698141799486078,198.23449644152925,198.23449644152925
1.1310500000000001,95.106892378901122,158.14628890746707,95.106892378901122,158.14628890746715,-13.131564067791274,50.348715063967468,-0.42472988086387947,-0.088680214507540156,0.15063818038186821,-0.42466761834331029,-7.8789384406826493,26.414342693429887,24.203900015669916,-11.455509823396135,-0.42472988086387958,-0.088680214507540073,0.15063818038186774,-0.42466761834331079,198.25020440479724,198.25020440479724
1.1311,95.114799680164481,158.14576166968592,95.114799680164481,158.14576166968601,-13.924196153242882,50.556120089511019,-0.42474152469183263,-0.088632113866862788,0.1572894576439258,-0.42224905562268217,-8.3545176919456416,26.142905021920004,24.511721560160399,-10.993827974981098,-0.42474152469183274,-0.088632113866862705,0.1572894576439253,-0.42224905562268267,198.26591236806513,198.26591236806513
1.1311500000000001,95.122706955072303,158.14523468410641,95.122706955072303,158.1452346841065,-14.71321491376181,50.750965296445862,-0.42475315632376798,-0.088584036555709872,0.16390192525874636,-0.41972632690402012,-8.827928948265253,25.865051921830865,24.813410156697536,-10.529521068154725,-0.42475315632376809,-0.088584036555709775,0.16390192525874589,-0.41972632690402062,198.28162033133313,198.28162033133313
1.1312,95.13061420363708,158.14470795033861,95.13061420363708,158.1447079503387,-15.498424716548286,50.933200093501213,-0.42476477577281091,-0.088535982561863652,0.17047395139530355,-0.41710005217049562,-9.2990548299289379,25.580850782562941,25.108890074700682,-10.062703296627925,-0.42476477577281102,-0.088535982561863555,0.17047395139530305,-0.41710005217049612,198.29732829460102,198.29732829460102
1.1312500000000001,95.138521425871531,158.14418146799346,95.138521425871531,158.14418146799355,-16.279632895288891,51.102785311111546,-0.42477638305206894,-0.088487951873120099,0.17700391513897887,-0.41437088095383151,-9.7677797371814741,25.290374992236519,25.398091070574527,-9.593491461211773,-0.42477638305206905,-0.088487951873120002,0.1770039151389784,-0.41437088095383201,198.31303625786902,198.31303625786902
1.1313,95.146428621788061,158.14365523668314,95.146428621788061,158.14365523668323,-17.056647239887269,51.259682400924703,-0.42478797817463182,-0.08843994447729045,0.18349020568068053,-0.4115394869487124,-10.233988343940663,24.993698113255405,25.680943282446574,-9.1220023015000429,-0.42478797817463193,-0.088439944477290353,0.18349020568068006,-0.4115394869487129,198.32874422113693,198.32874422113693
1.1313500000000001,95.154335791399362,158.14312925602076,95.154335791399362,158.14312925602084,-17.829276761997356,51.403856430315535,-0.4247995611535712,-0.088391960362199651,0.18993122305471566,-0.40860656928643918,-10.697566057206885,24.690895461514859,25.957378665053206,-8.6483531876154967,-0.42479956115357131,-0.088391960362199554,0.18993122305471516,-0.40860656928643968,198.3444521844049,198.3444521844049
1.1314,95.162242934717838,158.14260352562039,95.162242934717838,158.14260352562047,-18.597330487340272,51.535271935782205,-0.42481113200194126,-0.088343999515687874,0.19632537793856511,-0.40557285042864788,-11.158398292412308,24.382041995845103,26.227328960932489,-8.1726612638199878,-0.42481113200194137,-0.088343999515687763,0.19632537793856461,-0.40557285042864838,198.36016014767281,198.36016014767281
1.1314500000000001,95.170150051756096,158.14207804509726,95.170150051756096,158.14207804509735,-19.360619028782473,51.653897945016233,-0.42482269073277834,-0.088296061925608973,0.20267109276747661,-0.40243907831989278,-11.616371417277691,24.067214817208608,26.490728188818249,-7.6950444097397819,-0.42482269073277845,-0.088296061925608876,0.20267109276747611,-0.40243907831989323,198.37586811094079,198.37586811094079
1.1315,95.178057142526512,158.14155281406764,95.178057142526512,158.14155281406772,-20.118955242215595,51.759709977546656,-0.42483423735910103,-0.088248147579832015,0.20896680241308777,-0.39920602712917547,-12.071373145337539,23.746494149255163,26.747513643187755,-7.2156216031686276,-0.42483423735910114,-0.088248147579831904,0.20896680241308724,-0.39920602712917597,198.3915760742087,198.3915760742087
1.1315500000000001,95.18596420704165,158.14102783214864,95.18596420704165,158.14102783214872,-20.872152905747068,51.852685510529817,-0.42484577189391048,-0.088200256466239593,0.21521095392223685,-0.39587449494443844,-12.52329174344727,23.419961030695326,26.997623675627672,-6.7345119836983329,-0.4248457718939106,-0.088200256466239482,0.21521095392223633,-0.39587449494443888,198.4072840374767,198.4072840374767
1.1316000000000002,95.1938712453139,158.14050309895856,95.1938712453139,158.14050309895865,-21.620027080871836,51.932805118791435,-0.42485729435018982,-0.088152388572729334,0.2214020070493351,-0.39244530411168604,-12.972016248522198,23.087697880628447,27.240998260752786,-6.2518350680273009,-0.42485729435018993,-0.088152388572729209,0.22140200704933458,-0.39244530411168643,198.42299200074467,198.42299200074467
1.13165,95.20177825735567,158.13997861411676,95.20177825735567,158.13997861411684,-22.362391897213072,52.000046298302756,-0.4248688047409046,-0.088104543887213296,0.22753843356424969,-0.38891929826298849,-13.41743513832693,22.749785569180226,27.477575856865414,-5.7677097612045616,-0.42486880474090472,-0.088104543887213171,0.22753843356424916,-0.38891929826298888,198.43869996401259,198.43869996401259
1.1317000000000002,95.20968524317945,158.13945437724348,95.20968524317945,158.13945437724357,-23.099066116720124,52.054398505188743,-0.4248803030790031,-0.08805672239761711,0.23361872024521899,-0.38529734883898403,-13.859439670031204,22.40631046215287,27.707301098137741,-5.2822566469980128,-0.42488030307900321,-0.088056722397616985,0.23361872024521843,-0.38529734883898448,198.45440792728056,198.45440792728056
