"time","loadInertiaE.phi","loadInertiaE.w","loadInertiaM.phi","loadInertiaM.w","smrE.is[1]","smrE.is[2]","smrE.idq_rr[1]","smrE.idq_rr[2]","smrE.idq_sr[1]","smrE.idq_sr[2]","smrM.is[1]","smrM.is[2]","smrM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smrM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","vfController.x"
0.51855000000000007,17.724415955221779,79.713160729129939,17.7244174764603,79.713175255960948,-65.254914434990368,103.61854147292695,-17.066013049657951,35.87469152603714,-22.761294350556007,-102.27303031145442,-65.255029524061882,103.61850585966539,0.37036190531024221,0.18450743127318964,-0.062283548375133099,-0.43161461484927155,42.23778685038841
0.51860000000000006,17.728401828356414,79.721764402022146,17.728403350321535,79.721778939092786,-65.904434818855648,103.48633185864475,-17.064980958498577,35.846716558893476,-22.758646799519319,-102.26853667100073,-65.904546916428188,103.48629709845252,0.37032777458346894,0.18457915269928807,-0.058767682819388052,-0.43211111703290628,42.245932607440082
0.51865000000000006,17.732388131635027,79.730366485858141,17.732389654327257,79.730381033119556,-66.549798185439059,103.34753872590485,-17.063971809974465,35.818789994844899,-22.755976131424433,-102.26407460937448,-66.549905402938066,103.34750668567516,0.3702936458981807,0.18465081822329599,-0.055247517349064787,-0.43257901067060361,42.254079149889932
0.51870000000000005,17.736374864978291,79.738966985189236,17.736376388398138,79.73898154259237,-67.190962390780967,103.20216871614269,-17.062985516408922,35.7909118585033,-22.753282430501386,-102.25964418635223,-67.191062390958876,103.20214172672155,0.37025951920860489,0.18472242794203722,-0.051723284732562103,-0.43301825625715534,42.262226477737933
0.51875000000000004,17.740362028306841,79.747565904582899,17.740363552454809,79.747580472078397,-67.827885531844871,103.05022889058785,-17.062021989685611,35.763082174701879,-22.750565781400766,-102.25524546201042,-67.827982422079344,103.05020256141114,0.37022539446872249,0.18479398195252489,-0.04819521484304834,-0.43342881035286079,42.270374590984098
0.51880000000000004,17.74434962154179,79.756163248591747,17.744351146418385,79.756177826130113,-68.460525947801983,102.8917267280117,-17.061081141537581,35.735300966469204,-22.747826268988916,-102.25087849449007,-68.460623734921995,102.89169678532627,0.37019127163309151,0.18486548035168501,-0.044663541042622962,-0.43381063694453664,42.278523489628427
0.51885000000000003,17.748337644604643,79.764759021760099,17.748339170210365,79.764773609291566,-69.088842223167518,102.72667012507165,-17.060162883491888,35.707568255452642,-22.745063978385762,-102.24654334046325,-69.088941060001659,102.72663633060239,0.37015715065667715,0.18493692323641245,-0.041128498836073481,-0.43416370508798002,42.286673173670927
0.51890000000000003,17.752326097416976,79.773353228640815,17.752327623752322,79.77336782611539,-69.712793191505384,102.5550673973805,-17.059267126713785,35.679884063056768,-22.742278995073463,-102.24224005638796,-69.712893158135302,102.55502961132203,0.37012303149439019,0.18500831070372242,-0.037590322268510348,-0.43448798254662863,42.294823643111577
0.51895000000000002,17.756314979900587,79.781945873786796,17.756316506966055,79.781960481154215,-70.332337937791479,102.37692727872825,-17.058393782091287,35.652248409871355,-22.739471404835619,-102.23796869787657,-70.332439019906218,102.37688549152219,0.37008891410132122,0.18507964285067202,-0.034049245720774016,-0.43478343900926236,42.302974897950399
0.51900000000000002,17.760304291977512,79.790536961750519,17.760305819773595,79.790551578960361,-70.947435801210219,102.19225892088865,-17.057542760239169,35.624661315672874,-22.736641293753323,-102.23372931969685,-70.947537866155585,102.19221328880637,0.37005479843274108,0.1851509197743576,-0.030505503895087927,-0.43505004609606635,42.311126938187378
0.51905000000000001,17.764294033570017,79.799126497084245,17.764295562097207,79.79914112408585,-71.55804637793446,102.00107189339937,-17.056713971502965,35.597122799425954,-22.733788748201164,-102.22952197577284,-71.558149148407324,102.00102277813139,0.37002068444410136,0.18522214157191402,-0.02695933180071167,-0.4352877773646931,42.319279763822529
0.51910000000000001,17.76828420460059,79.807714484339783,17.768285733859372,79.807729121082275,-72.164129523891745,101.80337618331654,-17.055907325962917,35.569632879284846,-22.730913854843262,-102.22534671918585,-72.164232549223414,101.80332419576872,0.36998657209103586,0.18529330834051205,-0.023410964739594087,-0.43549660831632536,42.327433374855836
0.51915,17.772274804991945,79.816300928068372,17.772276334982809,79.816315574500649,-72.765645357520327,101.59918219494148,-17.055122733437983,35.542191572594852,-22.728016700629318,-102.22120360217546,-72.765747982427328,101.59912824340314,0.36995246132936027,0.18536442017735746,-0.019860638292026375,-0.43567651640173893,42.335587771287308
0.51919999999999999,17.77626583466704,79.824885832820627,17.776267365390474,79.824900488891387,-73.362554262512987,101.38850074952032,-17.05436010348981,35.514798895893875,-22.725097372790607,-102.2170926761404,-73.362655593269466,101.38844609241161,0.36991835211507385,0.18543547717968875,-0.016308588302295209,-0.43582748102736468,42.343742953116944
0.51924999999999999,17.780257293549049,79.833469203146365,17.780258825005518,79.833483868804123,-73.954816890540286,101.17134308491953,-17.053619345426728,35.487454864913779,-22.722155958836026,-102.21301399163957,-73.954915758586139,101.17128938835918,0.36988424440435969,0.18550647944477572,-0.012755050864335808,-0.43594948356135171,42.351898920344745
0.51929999999999998,17.784249181561378,79.842051043594623,17.784250713751376,79.842065718787651,-74.542394163967401,100.94772085527187,-17.052900368307732,35.460159494581944,-22.719192546548108,-102.20896759839287,-74.542489086656644,100.94767025552801,0.36985013815358525,0.18557742706991784,-0.0092002623073850834,-0.43604250733962951,42.360055672970709
0.51934999999999998,17.78824149862767,79.850631358713414,17.788243031551655,79.850646043389787,-75.125247278554326,100.71764613059699,-17.052203080946452,35.432912799022674,-22.716207223979069,-102.20495354528234,-75.125336417330743,100.71760130182983,0.36981603331930396,0.18564832015244223,-0.0056444591816347221,-0.43610653767197077,42.368213210994838
