"Time","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.inertiaRotor.phi","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.is[1]","smee.inertiaRotor.w","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.excitation.electroMagneticConverter.Phi.re","smee.is[2]"
2.0130982,-0.37387007,-0.4503049,302.09299,-0.25305876,15.751824,158.95306,0.0031076323,-0.46180767,-13.845771
2.0131981,-0.38166121,-0.45030898,302.10889,-0.24119504,16.166412,158.96236,0.0031712234,-0.46181077,-13.675305
2.0132983,-0.38907596,-0.45031309,302.12479,-0.22909181,16.569506,158.97156,0.003235575,-0.4618139,-13.482509
2.0133982,-0.39610708,-0.45031729,302.14069,-0.21676102,16.960312,158.98065,0.0033006887,-0.46181712,-13.267208
2.0134983,-0.40274748,-0.45032153,302.15659,-0.20421483,17.338017,158.98965,0.003366566,-0.46182036,-13.029275
2.0135982,-0.40899062,-0.45032585,302.17249,-0.19146557,17.701797,158.99857,0.0034332087,-0.46182367,-12.768628
2.0136983,-0.41483033,-0.45033023,302.18839,-0.17852587,18.050886,159.00737,0.0035006183,-0.46182704,-12.485189
2.0137982,-0.42026076,-0.45033467,302.20428,-0.16540846,18.384497,159.01608,0.003568796,-0.46183044,-12.17893
2.0138981,-0.42527649,-0.45033917,302.22018,-0.15212628,18.701841,159.02469,0.0036377434,-0.46183389,-11.849875
2.0139983,-0.42987257,-0.45034373,302.23608,-0.13869245,19.002182,159.0332,0.0037074618,-0.46183744,-11.498046
2.0140982,-0.43404442,-0.45034838,302.25201,-0.12512022,19.284777,159.04161,0.0037779524,-0.46184102,-11.123516
2.0141983,-0.43778789,-0.45035306,302.26791,-0.11142299,19.548882,159.04993,0.0038492163,-0.46184462,-10.726421
2.0142982,-0.4410992,-0.45035779,302.28381,-0.097614259,19.793804,159.05814,0.003921255,-0.46184832,-10.306887
2.0143983,-0.44397509,-0.45036262,302.29971,-0.083707668,20.018854,159.06625,0.0039940686,-0.46185204,-9.8650894
2.0144982,-0.44641265,-0.45036748,302.31561,-0.069716938,20.223349,159.07426,0.0040676589,-0.46185583,-9.4012775
2.0145984,-0.44840944,-0.4503724,302.33154,-0.055655882,20.406647,159.08217,0.0041420269,-0.46185967,-8.9156818
2.0146983,-0.44996345,-0.45037737,302.34744,-0.041538391,20.568127,159.08998,0.0042171725,-0.46186358,-8.4085817
2.0147982,-0.45107308,-0.45038241,302.36334,-0.027378397,20.707172,159.09769,0.0042930967,-0.46186751,-7.880342
2.0148983,-0.45173725,-0.45038751,302.37927,-0.013189882,20.823212,159.1053,0.0043698009,-0.4618715,-7.331295
2.0149982,-0.45195523,-0.45039266,302.39517,0.0010131362,20.915697,159.11281,0.0044472846,-0.46187556,-6.7618256
2.0150983,-0.45172676,-0.45039788,302.4111,0.015216636,20.984091,159.12022,0.0045255488,-0.46187964,-6.1724095
2.0151982,-0.45105204,-0.45040315,302.427,0.029406587,21.027905,159.12752,0.0046045939,-0.46188378,-5.5634832
2.0152984,-0.44993168,-0.45040846,302.4429,0.043568969,21.046667,159.13474,0.0046844198,-0.46188799,-4.9355321
2.0153983,-0.44836676,-0.45041385,302.45883,0.05768979,21.039938,159.14183,0.0047650277,-0.46189225,-4.2891412
2.0154984,-0.44635877,-0.45041928,302.47473,0.071755104,21.007311,159.14883,0.0048464164,-0.46189654,-3.6248481
2.0155983,-0.4439097,-0.45042476,302.49066,0.085751005,20.948408,159.15573,0.004928587,-0.46190089,-2.9432344
2.0156984,-0.44102186,-0.45043027,302.50659,0.099663667,20.862892,159.16254,0.0050115394,-0.46190527,-2.2449903
2.0157983,-0.4376981,-0.45043585,302.52249,0.11347934,20.750448,159.16924,0.0050952728,-0.46190971,-1.5307492
2.0158982,-0.43394169,-0.45044148,302.53842,0.12718438,20.610802,159.17583,0.005179788,-0.46191421,-0.80118597
2.0159984,-0.42975625,-0.45044717,302.55432,0.14076521,20.443718,159.18233,0.0052650841,-0.46191874,-0.057086237
2.0160983,-0.42514589,-0.45045289,302.57025,0.15420842,20.248991,159.18872,0.0053511607,-0.46192333,0.70082372
2.0161984,-0.42011517,-0.45045868,302.58618,0.16750073,20.026447,159.19501,0.0054380177,-0.46192798,1.4717807
2.0162983,-0.41466895,-0.45046449,302.60208,0.18062899,19.775967,159.2012,0.0055256546,-0.46193266,2.2549191
2.0163984,-0.40881264,-0.45047036,302.61801,0.19358021,19.497454,159.20729,0.0056140707,-0.46193737,3.0494192
2.0164983,-0.40255195,-0.45047629,302.63394,0.20634159,19.190845,159.21327,0.0057032653,-0.46194214,3.8544397
2.0165985,-0.39589301,-0.45048222,302.64987,0.2189005,18.85614,159.21916,0.0057932376,-0.46194696,4.6690445
2.0166984,-0.3888424,-0.45048824,302.66577,0.23124453,18.493355,159.22495,0.0058839866,-0.46195179,5.4923291
2.0167985,-0.38140705,-0.45049426,302.6817,0.24336146,18.102541,159.23062,0.0059755123,-0.46195671,6.3233824
2.0168984,-0.37359425,-0.45050034,302.69763,0.25523928,17.683815,159.23621,0.0060678124,-0.46196166,7.1612086
2.0169983,-0.3654117,-0.45050648,302.71356,0.2668663,17.237316,159.24167,0.006160887,-0.46196663,8.0048275
2.0170984,-0.35686743,-0.45051265,302.72949,0.27823094,16.763212,159.24706,0.006254734,-0.46197164,8.8532705
2.0171983,-0.34796989,-0.45051885,302.74539,0.28932196,16.261738,159.25232,0.0063493522,-0.46197671,9.7054911
2.0172985,-0.33872777,-0.45052508,302.76132,0.30012843,15.733156,159.25749,0.006444741,-0.46198183,10.560446
2.0173984,-0.32915023,-0.45053133,302.77725,0.31063962,15.17775,159.26257,0.0065408987,-0.46198696,11.417118
2.0174985,-0.31924665,-0.45053765,302.79318,0.32084513,14.595872,159.26755,0.0066378238,-0.46199214,12.274424
2.0175984,-0.30902684,-0.450544,302.80911,0.33073482,13.987909,159.27242,0.0067355139,-0.46199736,13.131269
2.0176985,-0.29850081,-0.45055038,302.82504,0.34029895,13.354262,159.27718,0.0068339687,-0.46200264,13.986601
