"time","constantSpeed.phi","constantSpeedQS.phi","smee.excitation.electroMagneticConverter.Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.stator.stray.port_p.Phi.im","smee.stator.stray.port_p.Phi.re","smee.stator.zeroInductor.i0","smeeQS.short.port_p.reference.gamma"
27.937000000000001,4383.8373460407247,4384.6227442041254,-0.46365919627650592,0.26523367422172428,-0.37403659496935154,0.0021403809296880951,0.032797209612544329,2.784911003034243e-10,7.4219079243264403
27.9375,4383.9158334971871,4384.7012316605878,-0.46367659691470864,0.32047842947177041,-0.32793938943104256,0.0072380066739633547,0.032056904391986621,2.5683724586698681e-10,7.4220126440815584
27.937999999999999,4383.9943209536486,4384.7797191170494,-0.4636939963027672,0.36783178648476783,-0.27376785359549138,0.012156880866452542,0.0305293271560391,2.2885052453256096e-10,7.4221173638366773
27.938500000000001,4384.072808410112,4384.8582065735127,-0.46371138618527163,0.40612784046491879,-0.21285587967686251,0.016776214752581911,0.028252149389776118,1.9524318998075245e-10,7.4222220835917971
27.939,4384.1512958665735,4384.9366940299742,-0.46372877278195918,0.43442372133962476,-0.14670333089969365,0.020982601344775701,0.025281447099815779,1.5682566979252856e-10,7.4223268033469152
27.939499999999999,4384.2297833230359,4385.0151814864366,-0.46374615922246165,0.45202279466431278,-0.076939088601436403,0.024672797889172225,0.021690320610141728,1.1453873591834655e-10,7.4224315231020332
27.940000000000001,4384.3082707794983,4385.0936689428991,-0.46376353835018191,0.4584918006951712,-0.0052809459912672189,0.027756259876789254,0.017567096635352396,6.9434339691738709e-11,7.4225362428571531
27.9405,4384.3867582359608,4385.1721563993615,-0.46378091069075172,0.45367154191984149,0.066506677786057289,0.030157363750128931,0.013013154406074083,2.2609448714754057e-11,7.422640962612272
27.940999999999999,4384.4652456924223,4385.250643855823,-0.46379828409032309,0.43768080157570777,0.13665619136825499,0.031817260943961881,0.0081404328753906345,-2.4765730418672826e-11,7.4227456823673901
27.941500000000001,4384.5437331488856,4385.3291313122863,-0.46381565303165034,0.41091338964622814,0.20344035248468073,0.032695319926457946,0.0030686811176310639,-7.1509286243734372e-11,7.4228504021225099
27.942,4384.6222206053471,4385.4076187687479,-0.46383301080066619,0.37402846136201057,0.26521478991124164,0.032770121473248828,-0.0020774856979729056,-1.1649310867172863e-10,7.422955121877628
27.942499999999999,4384.7007080618096,4385.4861062252103,-0.46385037095878573,0.32793430954745684,0.3204585074127641,0.032039980298481513,-0.0071716500856583883,-1.5863038086571504e-10,7.4230598416327469
27.943000000000001,4384.779195518272,4385.5645936816727,-0.46386772807939081,0.273765950165343,0.36781131543930767,0.030522983360071435,-0.012088694060015871,-1.9684693512167539e-10,7.4231645613878658
27.9435,4384.8576829747344,4385.6430811381351,-0.46388507302786242,0.2128571976168511,0.40610732092266116,0.02825654216290735,-0.016707873885267673,-2.3021335743071343e-10,7.4232692811429848
27.943999999999999,4384.9361704311959,4385.7215685945966,-0.46390241965192647,0.14670784169107612,0.4344036628593746,0.025296468273790718,-0.020915786896252286,-2.5792049666584782e-10,7.4233740008981028
27.944500000000001,4385.0146578876593,4385.80005605106,-0.46391976400783158,0.07694667953129955,0.45200368827255927,0.021715601161544969,-0.024609152328633848,-2.7926772278405806e-10,7.4234787206532227
27.945,4385.0931453441208,4385.8785435075215,-0.46393709715486975,0.0052914296028810422,0.45847411128739518,0.0176020155167547,-0.027697347826117397,-2.9374295692250655e-10,7.4235834404083416
27.945499999999999,4385.1716328005832,4385.9570309639839,-0.46395442992581332,-0.066493557549280199,0.45365571262019305,0.01305685270317637,-0.030104633832368163,-3.0098270701675617e-10,7.4236881601634597
27.946000000000002,4385.2501202570456,4386.0355184204464,-0.46397176133873935,-0.13664075797574707,0.43766721846141082,0.0081918366081555633,-0.031772009475660085,-3.0081614212261563e-10,7.4237928799185786
27.9465,4385.3286077135081,4386.1140058769088,-0.46398908305114828,-0.20342298359647493,0.41090238020936554,0.0031265271300002745,-0.032658659535146732,-2.9323358471878731e-10,7.4238975996736976
