"Time","pulse2m.twomPulse.timerNegative[1].entryTime","rectifier.pre_n[2].u","rectifier.thyristor_n.idealThyristor[1].off","rectifier.thyristor_n.idealThyristor[3].off","meanCurrent.y","meanVoltage.y","rectifier.thyristor_p.idealThyristor[1].off","rectifier.thyristor_p.idealThyristor[3].off","pulse2m.twomPulse.timerNegative[3].entryTime","pulse2m.twomPulse.timerNegative[2].entryTime","pulse2m.twomPulse.timerPositive[1].entryTime","inductor.i","rootMeanSquareVoltage.mean.x","meanVoltage.x","rectifier.pre_n[3].u","rootMeanSquareVoltage.mean.y","rectifier.pre_p[2].u","rectifier.pre_n[1].u","pulse2m.twomPulse.timerPositive[2].entryTime","rectifier.thyristor_p.idealThyristor[2].off","pulse2m.twomPulse.timerPositive[3].entryTime","rectifier.pre_p[1].u","meanCurrent.x","rectifier.pre_p[3].u","rectifier.thyristor_n.idealThyristor[2].off"
4.95996,4.9516668,0,0,1,13.383893,3.5059187,1,0,4.9450002,4.9583335,4.9416666,13.287475,20.222767,0.0053346963,0,6291.2837,0,1,4.9483333,1,4.9549999,0,0.04403596,1,1
4.9599962,4.9516668,0,0,1,13.383893,3.5059187,1,0,4.9450002,4.9583335,4.9416666,13.292235,20.900589,0.010306876,0,6291.2837,0,1,4.9483333,1,4.9549999,0,0.044520717,1,1
4.96,4.9516668,0,0,1,13.383893,3.5059187,1,0,4.9450002,4.9583335,4.9416666,13.292695,20.96541,0.010787556,0,6291.2837,0,1,4.9483333,1,4.9549999,0,0.044568095,1,1
4.96,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9416666,13.292695,0,0,0,6289.623,0,1,4.9483333,1,4.9549999,0,0,1,1
4.9601965,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9416666,13.316531,3.1938524,0.025034366,0,6289.623,0,1,4.9483333,1,4.9549999,0,0.0026136523,1,1
4.9603963,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9416666,13.337707,5.7255006,0.047519039,0,6289.623,0,1,4.9483333,1,4.9549999,0,0.0052792346,1,1
4.9605966,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9416666,13.355684,7.6047068,0.066884592,0,6289.623,0,1,4.9483333,1,4.9549999,0,0.0079487329,1,1
4.9607964,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9416666,13.370401,8.9163427,0.083054587,0,6289.623,0,1,4.9483333,1,4.9549999,0,0.010621502,1,1
4.9609966,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9416666,13.381806,9.7542305,0.095965207,0,6289.623,0,1,4.9483333,1,4.9549999,0,0.013296884,1,1
4.9611964,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9416666,13.389862,10.219664,0.10556549,0,6289.623,0,1,4.9483333,1,4.9549999,0,0.015974212,1,1
4.9613967,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9416666,13.394544,10.419808,0.11181755,0,6289.623,0,1,4.9483333,1,4.9549999,0,0.018652817,1,1
4.9615965,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9416666,13.395841,10.466017,0.11469672,0,6289.623,0,1,4.9483333,1,4.9549999,0,0.021332018,1,1
4.9616666,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9416666,13.395494,10.466842,0.11490507,0,6289.623,0,1,4.9483333,1,4.9549999,0,0.022271942,1,1
4.9616666,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9416666,13.395494,10.466842,0.11490507,0,6289.623,0,1,4.9483333,1,4.9549999,0,0.022271942,1,1
4.9616666,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9416666,13.395494,10.466842,0.11490507,0,6289.623,0,1,4.9483333,1,4.9549999,0,0.022271965,1,1
4.9616666,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9616666,13.395494,10.466842,0.11490507,0,6289.623,0,0,4.9483333,1,4.9549999,0,0.022271965,1,1
4.9617963,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9616666,13.393756,10.472088,0.11419161,0,6289.623,0,0,4.9483333,1,4.9549999,0,0.024011139,1,1
4.9619966,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9616666,13.388303,10.552383,0.1103043,0,6289.623,0,0,4.9483333,1,4.9549999,0,0.026689507,1,1
4.9621964,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9616666,13.379512,10.820176,0.10305005,0,6289.623,0,0,4.9483333,1,4.9549999,0,0.02936645,1,1
4.9623966,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9616666,13.367424,11.385754,0.092457451,0,6289.623,0,0,4.9483333,1,4.9549999,0,0.032041304,1,1
4.9625964,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9616666,13.352095,12.354696,0.078568369,0,6289.623,0,0,4.9483333,1,4.9549999,0,0.034713414,1,1
4.9627967,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9616666,13.333591,13.826235,0.061437618,0,6289.623,0,0,4.9483333,1,4.9549999,0,0.037382141,1,1
4.9629965,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9616666,13.311995,15.891672,0.041132808,0,6289.623,0,0,4.9483333,1,4.9549999,0,0.040046856,1,1
4.9631968,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9616666,13.287396,18.632948,0.017734077,0,6289.623,0,0,4.9483333,1,4.9549999,0,0.042706951,1,1
4.9632964,4.9516668,0,0,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9616666,13.273994,20.280853,0.0048944661,0,6289.623,0,0,4.9483333,1,4.9549999,0,0.044035926,1,1
4.9632964,4.9516668,1,1,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9616666,13.273994,20.280853,0.0048944661,0,6289.623,0,0,4.9483333,1,4.9549999,0,0.044035926,1,0
4.9633331,4.9516668,1,1,1,13.370429,3.2362669,1,0,4.9450002,4.9583335,4.9616666,13.278786,20.960392,0.0098884515,0,6289.623,0,0,4.9483333,1,4.9549999,0,0.044523213,1,0
4.9633331,4.9516668,1,1,1,13.356964,2.9665356,1,0,4.9450002,4.9583335,4.9616666,13.278786,0,0,0,6288.1177,0,0,4.9483333,1,4.9549999,0,0,1,0
4.9633965,4.9516668,1,1,1,13.356964,2.9665356,1,0,4.9450002,4.9583335,4.9616666,13.2868,1.1085621,0.0083722323,0,6288.1177,0,0,4.9483333,1,4.9549999,0,0.00083996326,1,0
4.9635963,4.9516668,1,1,1,13.356964,2.9665356,1,0,4.9450002,4.9583335,4.9616666,13.310119,4.1168051,0.032885782,0,6288.1177,0,0,4.9483333,1,4.9549999,0,0.0034998122,1,0
4.9637966,4.9516668,1,1,1,13.356964,2.9665356,1,0,4.9450002,4.9583335,4.9616666,13.330289,6.42171,0.054337956,0,6288.1177,0,0,4.9483333,1,4.9549999,0,0.0061640115,1,0
4.9639964,4.9516668,1,1,1,13.356964,2.9665356,1,0,4.9450002,4.9583335,4.9616666,13.347239,8.1014404,0.072644092,0,6288.1177,0,0,4.9483333,1,4.9549999,0,0.0088319248,1,0
