"Time","aimc.idq_sr[2]","aimc.idq_rr[1]","aimc.is[1]","aimc.is[2]","loadInertia.w","PI.x","aimc.idq_rr[2]","aimc.idq_sr[1]","powerSensor.flange_a.phi"
4.5204983,-6.5674639,-0.21600898,-5.9108286,-2.1568747,157.02165,32.653385,0.175348,-5.1099072,709.9068
4.5205984,-6.5677385,-0.21637058,-5.7221699,-2.4097056,157.02148,32.900421,0.17557034,-5.109478,709.92249
4.5206981,-6.5680151,-0.21673481,-5.5278444,-2.6601524,157.02132,33.147655,0.17579436,-5.109046,709.93823
4.5207982,-6.5682931,-0.21710163,-5.3280449,-2.9079671,157.02115,33.395073,0.17602007,-5.1086116,709.95392
4.5208983,-6.5685735,-0.21747105,-5.1229687,-3.152904,157.02098,33.64267,0.17624743,-5.1081738,709.9696
4.5209985,-6.5688553,-0.21784306,-4.9128189,-3.3947208,157.0208,33.890438,0.17647649,-5.1077337,709.98529
4.5210981,-6.569139,-0.21821764,-4.6978035,-3.633178,157.02063,34.138371,0.17670721,-5.1072903,710.00104
4.5211983,-6.5694242,-0.2185948,-4.4781351,-3.8680391,157.02046,34.386459,0.17693961,-5.1068444,710.01672
4.5212984,-6.5697117,-0.21897453,-4.2540312,-4.0990715,157.02029,34.634693,0.17717367,-5.1063962,710.03241
4.5213981,-6.5700006,-0.21935681,-4.0257139,-4.3260465,157.02013,34.883072,0.1774094,-5.1059446,710.0481
4.5214982,-6.5702915,-0.21974163,-3.7934084,-4.548739,157.01994,35.13158,0.1776468,-5.1054907,710.06384
4.5215983,-6.5705838,-0.220129,-3.5573452,-4.7669287,157.01978,35.380215,0.17788586,-5.1050339,710.07953
4.5216985,-6.5708785,-0.22051889,-3.3177576,-4.9803987,157.01961,35.628963,0.17812659,-5.1045742,710.09521
4.5217981,-6.5711746,-0.22091129,-3.0748835,-5.1889381,157.01944,35.877827,0.17836897,-5.1041121,710.11096
4.5218983,-6.5714726,-0.2213062,-2.8289626,-5.3923402,157.01926,36.126789,0.17861302,-5.1036472,710.12665
4.5219984,-6.5717721,-0.22170362,-2.5802386,-5.5904031,157.01909,36.375847,0.17885871,-5.1031795,710.14233
4.5220985,-6.5720735,-0.22210351,-2.3289578,-5.7829309,157.01892,36.624996,0.17910606,-5.1027093,710.15802
4.5221982,-6.5723767,-0.22250588,-2.0753689,-5.9697323,157.01875,36.874222,0.17935506,-5.1022367,710.17377
