"Time","rectifier.thyristor_p1.off","rectifier.thyristor_p2.off","rootMeanSquareVoltage.mean.y","pulse2.twoPulse.timerPositive[1].entryTime","rectifier.thyristor_n2.off","inductor.i","meanCurrent.x","rectifier.thyristor_n1.off","rootMeanSquareVoltage.mean.x","meanVoltage.x","pulse2.twoPulse.timerNegative[1].entryTime","meanCurrent.y","meanVoltage.y"
4.9661965,0,1,12099.977,4.96,0,6.0063262,0.037724338,1,88.132645,-0.30247211,4.9499998,6.1476078,1.4012206
4.9663968,0,1,12099.977,4.96,0,6.0348067,0.038928516,1,92.211998,-0.273909,4.9499998,6.1476078,1.4012206
4.9665966,0,1,12099.977,4.96,0,6.062345,0.040138297,1,96.057724,-0.2461762,4.9499998,6.1476078,1.4012206
4.9667969,0,1,12099.977,4.96,0,6.0888352,0.041353479,1,99.647339,-0.21938315,4.9499998,6.1476078,1.4012206
4.9669967,0,1,12099.977,4.96,0,6.1141763,0.042573851,1,102.96239,-0.19363561,4.9499998,6.1476078,1.4012206
4.9671969,0,1,12099.977,4.96,0,6.1382713,0.043799166,1,105.98875,-0.1690352,4.9499998,6.1476078,1.4012206
4.9673967,0,1,12099.977,4.96,0,6.1610284,0.045029167,1,108.71686,-0.14567901,4.9499998,6.1476078,1.4012206
4.9675965,0,1,12099.977,4.96,0,6.1823611,0.046263579,1,111.14188,-0.12365923,4.9499998,6.1476078,1.4012206
4.9677968,0,1,12099.977,4.96,0,6.202188,0.047502108,1,113.26373,-0.10306275,4.9499998,6.1476078,1.4012206
4.9679966,0,1,12099.977,4.96,0,6.2204342,0.048744448,1,115.08713,-0.083970875,4.9499998,6.1476078,1.4012206
4.9681969,0,1,12099.977,4.96,0,6.2370305,0.04999027,1,116.62147,-0.066458948,4.9499998,6.1476078,1.4012206
4.9683967,0,1,12099.977,4.96,0,6.2519145,0.051239245,1,117.88071,-0.050596096,4.9499998,6.1476078,1.4012206
4.9685969,0,1,12099.977,4.96,0,6.2650313,0.052491017,1,118.88319,-0.036444925,4.9499998,6.1476078,1.4012206
4.9687967,0,1,12099.977,4.96,0,6.2763314,0.053745236,1,119.65124,-0.024061289,4.9499998,6.1476078,1.4012206
4.968997,0,1,12099.977,4.96,0,6.2857738,0.055001527,1,120.21093,-0.013494061,4.9499998,6.1476078,1.4012206
4.9691968,0,1,12099.977,4.96,0,6.293324,0.056259517,1,120.59161,-0.0047849487,4.9499998,6.1476078,1.4012206
4.9693966,0,1,12099.977,4.96,0,6.2989554,0.057518829,1,120.82542,0.0020316732,4.9499998,6.1476078,1.4012206
4.9695969,0,1,12099.977,4.96,0,6.302649,0.058779072,1,120.94687,0.0069289003,4.9499998,6.1476078,1.4012206
4.9697967,0,1,12099.977,4.96,0,6.3043928,0.060039856,1,120.9922,0.0098874029,4.9499998,6.1476078,1.4012206
4.9699969,0,1,12099.977,4.96,0,6.304183,0.061300796,1,120.99886,0.010895512,4.9499998,6.1476078,1.4012206
4.9699998,0,1,12099.977,4.96,0,6.3041639,0.061320771,1,120.99886,0.010895757,4.9499998,6.1476078,1.4012206
4.9699998,0,1,12099.887,4.96,0,6.3041639,0,1,0,0,4.9499998,6.1320772,1.0895756
4.9699998,0,1,12099.887,4.96,0,6.3041639,1.5667136e-11,1,1.5164963e-16,-1.9413407e-14,4.9499998,6.1320772,1.0895756
4.9699998,0,1,12099.887,4.96,0,6.3041639,1.5667136e-11,1,1.5164963e-16,-1.9413407e-14,4.9699998,6.1320772,1.0895756
4.9701967,0,1,12099.887,4.96,0,6.3020234,0.0012407285,1,0.0060677161,-0.00094650814,4.9699998,6.1320772,1.0895756
4.970397,0,1,12099.887,4.96,0,6.2979259,0.0025008055,1,0.049603883,-0.0038434076,4.9699998,6.1320772,1.0895756
4.9705968,0,1,12099.887,4.96,0,6.2919097,0.0037598708,1,0.16809219,-0.0086795278,4.9699998,6.1320772,1.0895756
4.9707971,0,1,12099.887,4.96,0,6.2840009,0.0050175427,1,0.39783317,-0.015435772,4.9699998,6.1320772,1.0895756
4.9709969,0,1,12099.887,4.96,0,6.2742338,0.0062734466,1,0.77337354,-0.024085473,4.9699998,6.1320772,1.0895756
4.9711967,0,1,12099.887,4.96,0,6.2626505,0.0075272149,1,1.3269602,-0.034594495,4.9699998,6.1320772,1.0895756
4.9713969,0,1,12099.887,4.96,0,6.249299,0.0087784883,1,2.0880303,-0.046921354,4.9699998,6.1320772,1.0895756
4.9715967,0,1,12099.887,4.96,0,6.2342353,0.01002692,1,3.0827501,-0.061017405,4.9699998,6.1320772,1.0895756
4.971797,0,1,12099.887,4.96,0,6.2175217,0.011272172,1,4.3336,-0.076827012,4.9699998,6.1320772,1.0895756
4.9719968,0,1,12099.887,4.96,0,6.1992269,0.012513921,1,5.8590217,-0.094287768,4.9699998,6.1320772,1.0895756
4.9721971,0,1,12099.887,4.96,0,6.1794262,0.01375186,1,7.6731257,-0.11333077,4.9699998,6.1320772,1.0895756
4.9723969,0,1,12099.887,4.96,0,6.1582003,0.014985695,1,9.78547,-0.13388085,4.9699998,6.1320772,1.0895756
4.9725971,0,1,12099.887,4.96,0,6.1356363,0.016215147,1,12.200907,-0.15585691,4.9699998,6.1320772,1.0895756
4.9727969,0,1,12099.887,4.96,0,6.1118255,0.017439963,1,14.919512,-0.1791722,4.9699998,6.1320772,1.0895756
4.9729972,0,1,12099.887,4.96,0,6.0868654,0.018659899,1,17.936577,-0.20373471,4.9699998,6.1320772,1.0895756
4.973197,0,1,12099.887,4.96,0,6.0608568,0.019874735,1,21.242685,-0.22944748,4.9699998,6.1320772,1.0895756
4.9733968,0,1,12099.887,4.96,0,6.033905,0.021084275,1,24.823864,-0.25620905,4.9699998,6.1320772,1.0895756
4.973597,0,1,12099.887,4.96,0,6.0061202,0.022288337,1,28.6618,-0.28391376,4.9699998,6.1320772,1.0895756
4.9737968,0,1,12099.887,4.96,0,5.9776139,0.023486769,1,32.734135,-0.31245232,4.9699998,6.1320772,1.0895756
4.9739971,0,1,12099.887,4.96,0,5.9485021,0.024679437,1,37.014801,-0.34171203,4.9699998,6.1320772,1.0895756
4.9741969,0,1,12099.887,4.96,0,5.9189014,0.025866233,1,41.474464,-0.37157744,4.9699998,6.1320772,1.0895756
4.9743972,0,1,12099.887,4.96,0,5.8889327,0.027047068,1,46.080952,-0.40193066,4.9699998,6.1320772,1.0895756
4.974597,0,1,12099.887,4.96,0,5.858716,0.028221881,1,50.799786,-0.43265191,4.9699998,6.1320772,1.0895756
4.9747972,0,1,12099.887,4.96,0,5.8283739,0.029390639,1,55.594715,-0.46361995,4.9699998,6.1320772,1.0895756
