"Time","aimc3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc3.is[2]","aimcM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertiaM.phi","aimcM.is[3]","aimc3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimcM.is[2]","aimcM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimcM.is[1]","aimc3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia3.w","loadInertiaM.w","aimc3.is[1]","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia3.phi","aimcM.is[4]"
0.10767178,0.1090118,0.21481985,-598.45581,0.1090118,-0.68988973,0.0010331614,-496.89264,0.21481985,68.260399,-0.12152773,539.0799,-0.12152773,0.71551937,0.71551937,898.46643,-0.68988973,0.0010331614,-375.35693
0.10777185,0.10960422,0.20365113,-585.07477,0.10960422,-0.69646895,0.0011067018,-492.88031,0.20365113,79.702507,-0.12495904,542.13916,-0.12495904,0.754583,0.754583,903.56525,-0.69646895,0.0011067018,-384.31927
0.10787191,0.11012534,0.19225144,-571.1839,0.11012534,-0.70269346,0.0011842205,-488.4957,0.19225144,91.17971,-0.12840757,544.84784,-0.12840757,0.79504251,0.79504251,908.07977,-0.70269346,0.0011842205,-393.08664
0.10797198,0.11057431,0.18063237,-556.79651,0.11057431,-0.70855629,0.0012658586,-483.74203,0.18063237,102.67934,-0.13187106,547.20135,-0.13187106,0.83691323,0.83691323,912.00226,-0.70855629,0.0012658586,-401.64838
0.10807205,0.11095031,0.16880572,-541.92621,0.11095031,-0.71405065,0.0013517583,-478.62299,0.16880572,114.18872,-0.1353472,549.1955,-0.1353472,0.88020903,0.88020903,915.32581,-0.71405065,0.0013517583,-409.99399
0.10817211,0.11125265,0.15678349,-526.58728,0.11125265,-0.71917033,0.0014420634,-473.14252,0.15678349,125.69521,-0.13883369,550.82642,-0.13883369,0.92494279,0.92494279,918.04401,-0.71917033,0.0014420634,-418.11337
0.10827218,0.11148066,0.14457776,-510.79422,0.11148066,-0.7239092,0.0015369167,-467.30481,0.14457776,137.18617,-0.1423282,552.09052,-0.1423282,0.9711265,0.9711265,920.15088,-0.7239092,0.0015369167,-425.99643
0.10837225,0.11163377,0.13220087,-494.56216,0.11163377,-0.72826171,0.001636464,-461.11459,0.13220087,148.64899,-0.1458284,552.98474,-0.1458284,1.0187702,1.0187702,921.64117,-0.72826171,0.001636464,-433.63348
0.10847232,0.11171152,0.11966539,-477.90674,0.11171152,-0.7322228,0.0017408527,-454.57703,0.11966539,160.07106,-0.14933191,553.50635,-0.14933191,1.0678829,1.0678829,922.51062,-0.7322228,0.0017408527,-441.01511
0.10857238,0.11171351,0.106984,-460.84402,0.11171351,-0.73578763,0.0018502307,-447.69751,0.106984,171.43985,-0.15283634,553.6532,-0.15283634,1.118472,1.118472,922.75531,-0.73578763,0.0018502307,-448.13214
0.10867245,0.11163943,0.094169497,-443.39041,0.11163943,-0.73895192,0.001964746,-440.48187,0.094169497,182.7429,-0.15633932,553.42322,-0.15633932,1.1705438,1.1705438,922.37201,-0.73895192,0.001964746,-454.97568
0.10877252,0.11148897,0.081234701,-425.56247,0.11148897,-0.7417115,0.0020845456,-432.93607,0.081234701,193.96782,-0.15983844,552.81476,-0.15983844,1.2241036,1.2241036,921.35797,-0.7417115,0.0020845456,-461.53702
0.10887258,0.111262,0.068192735,-407.37753,0.111262,-0.7440629,0.0022097791,-425.06662,0.068192735,205.10229,-0.16333131,551.82678,-0.16333131,1.2791543,1.2791543,919.7113,-0.7440629,0.0022097791,-467.80792
0.10897265,0.11095846,0.055056743,-388.85318,0.11095846,-0.74600297,0.0023405964,-416.88034,0.055056743,216.13412,-0.16681553,550.45856,-0.16681553,1.3356979,1.3356979,917.43097,-0.74600297,0.0023405964,-473.78033
0.10907272,0.11057834,0.041839972,-370.00735,0.11057834,-0.74752903,0.0024771469,-408.38443,0.041839972,227.05119,-0.17028868,548.70978,-0.17028868,1.3937346,1.3937346,914.5163,-0.74752903,0.0024771469,-479.44666
0.10917278,0.11012169,0.028555712,-350.85818,0.11012169,-0.74863869,0.0026195799,-399.58624,0.028555712,237.84152,-0.17374837,546.58038,-0.17374837,1.4532635,1.4532635,910.96729,-0.74863869,0.0026195799,-484.79941
0.10927285,0.10958868,0.015217314,-331.42419,0.10958868,-0.74932998,0.0027680434,-390.49347,0.015217314,248.49327,-0.17719221,544.07074,-0.17719221,1.5142823,1.5142823,906.78461,-0.74932998,0.0027680434,-489.83151
0.10937291,0.10897954,0.0018382289,-311.72424,0.10897954,-0.74960154,0.0029226874,-381.11426,0.0018382289,258.99475,-0.18061781,541.18182,-0.18061781,1.5767865,1.5767865,901.96967,-0.74960154,0.0029226874,-494.53632
0.10947298,0.10829459,-0.011568075,-291.7775,0.10829459,-0.74945223,0.0030836603,-371.45697,-0.011568075,269.33441,-0.18402277,537.91479,-0.18402277,1.6407702,1.6407702,896.52466,-0.74945223,0.0030836603,-498.90744
0.10957305,0.10753424,-0.0249881,-271.60336,0.10753424,-0.74888158,0.0032511097,-361.53027,-0.0249881,279.50092,-0.18740474,534.27136,-0.18740474,1.7062258,1.7062258,890.45227,-0.74888158,0.0032511097,-502.93893
0.10967311,0.10669893,-0.038408395,-251.2213,0.10669893,-0.74788904,0.0034251816,-351.34302,-0.038408395,289.483,-0.19076136,530.25336,-0.19076136,1.7731453,1.7731453,883.75555,-0.74788904,0.0034251816,-506.62494
0.10977318,0.10578922,-0.051815439,-230.65117,0.10578922,-0.7464751,0.0036060226,-340.90442,-0.051815439,299.26974,-0.19409029,525.86328,-0.19409029,1.8415178,1.8415178,876.43878,-0.7464751,0.0036060226,-509.96024
