"Time","total_AV_B_a","total_AV_B_b","total_A_VB_a","total_A_VB_b","total_AV_VB_a","total_AV_VB_b","total_A_V_B_a","total_A_V_B_b"
24.6,293604.66,289815.41,293604.59,290580.22,293604.62,290281.31,293604.62,290131.56
24.700001,293604.66,289874.66,293604.59,290632.19,293604.62,290336.59,293604.62,290187.47
24.799999,293604.66,289933.16,293604.59,290683.44,293604.59,290391.16,293604.62,290242.72
24.9,293604.62,289991,293604.59,290734.06,293604.59,290445.03,293604.62,290297.31
25,293604.62,290048.12,293604.56,290784,293604.59,290498.22,293604.62,290351.22
25.1,293604.62,290104.59,293604.56,290833.28,293604.59,290550.72,293604.62,290404.5
25.200001,293604.62,290160.38,293604.56,290881.88,293604.59,290602.53,293604.59,290457.09
25.299999,293604.62,290215.47,293604.56,290929.81,293604.59,290653.69,293604.59,290509.06
25.4,293604.62,290269.91,293604.56,290977.12,293604.56,290704.12,293604.59,290560.38
25.5,293604.62,290323.69,293604.56,291023.75,293604.56,290753.91,293604.59,290611.06
25.6,293604.59,290376.81,293604.56,291069.72,293604.56,290803.03,293604.59,290661.09
25.700001,293604.59,290429.28,293604.56,291115.06,293604.56,290851.5,293604.59,290710.5
25.799999,293604.59,290481.09,293604.53,291159.78,293604.56,290899.31,293604.59,290759.28
25.9,293604.59,290532.28,293604.53,291203.84,293604.56,290946.47,293604.56,290807.47
26,293604.59,290582.84,293604.53,291247.28,293604.56,290992.97,293604.56,290855
26.1,293604.59,290632.75,293604.53,291290.06,293604.56,291038.78,293604.56,290901.94
26.200001,293604.59,290682.03,293604.53,291332.22,293604.53,291084,293604.56,290948.22
26.299999,293604.56,290730.69,293604.53,291373.72,293604.53,291128.53,293604.56,290993.91
26.4,293604.56,290778.72,293604.53,291414.62,293604.53,291172.44,293604.56,291038.97
26.5,293604.56,290826.09,293604.53,291454.91,293604.53,291215.72,293604.56,291083.44
26.6,293604.56,290872.88,293604.53,291494.56,293604.53,291258.38,293604.53,291127.31
26.700001,293604.56,290919.06,293604.5,291533.62,293604.53,291300.38,293604.53,291170.56
26.799999,293604.56,290964.59,293604.5,291572.06,293604.53,291341.78,293604.53,291213.22
26.9,293604.56,291009.53,293604.5,291609.91,293604.53,291382.53,293604.53,291255.31
27,293604.56,291053.88,293604.5,291647.12,293604.53,291422.69,293604.53,291296.75
27.1,293604.53,291097.56,293604.5,291683.78,293604.5,291462.22,293604.53,291337.62
27.200001,293604.53,291140.69,293604.5,291719.81,293604.5,291501.12,293604.53,291377.88
27.299999,293604.53,291183.19,293604.5,291755.25,293604.5,291539.44,293604.53,291417.56
27.4,293604.53,291225.09,293604.5,291790.09,293604.5,291577.16,293604.53,291456.66
27.5,293604.53,291266.41,293604.5,291824.38,293604.5,291614.25,293604.53,291495.19
