"Time","rootMeanSquareVoltage.mean.y","pulse2.twoPulse.timerPositive[1].entryTime","idealthyristor.off","meanCurrent.x","rootMeanSquareVoltage.mean.x","meanVoltage.x","pulse2.twoPulse.timerNegative[1].entryTime","meanCurrent.y","meanVoltage.y"
4.9783974,3091.6016,4.96,1,0.025027081,61.347652,0.50054163,4.9699998,1.259105,25.182098
4.9785972,3091.6016,4.96,1,0.025026983,61.347652,0.50053966,4.9699998,1.259105,25.182098
4.978797,3091.6016,4.96,1,0.025026882,61.347652,0.50053763,4.9699998,1.259105,25.182098
4.9789972,3091.6016,4.96,1,0.025026789,61.347652,0.50053579,4.9699998,1.259105,25.182098
4.979197,3091.6016,4.96,1,0.025026739,61.347652,0.50053477,4.9699998,1.259105,25.182098
4.9793973,3091.6016,4.96,1,0.025026688,61.347652,0.50053376,4.9699998,1.259105,25.182098
4.9795971,3091.6016,4.96,1,0.025026664,61.347652,0.50053328,4.9699998,1.259105,25.182098
4.9797974,3091.6016,4.96,1,0.025026662,61.347652,0.50053322,4.9699998,1.259105,25.182098
4.9799972,3091.6016,4.96,1,0.02502666,61.347652,0.50053322,4.9699998,1.259105,25.182098
4.98,3091.6016,4.96,1,0.02502666,61.347652,0.50053322,4.9699998,1.259105,25.182098
4.98,3067.3826,4.96,1,0,0,0,4.9699998,1.251333,25.026661
4.98,3067.3826,4.96,1,2.3996538e-19,9.2504835e-24,4.7993077e-18,4.9699998,1.251333,25.026661
4.98,3067.3826,4.98,1,2.3996538e-19,9.2504835e-24,4.7993077e-18,4.9699998,1.251333,25.026661
4.9801974,3067.3826,4.98,1,9.4997636e-09,2.9352282e-10,1.8999528e-07,4.9699998,1.251333,25.026661
4.9803972,3067.3826,4.98,1,3.8479243e-08,2.3835005e-09,7.6958486e-07,4.9699998,1.251333,25.026661
4.980597,3067.3826,4.98,1,8.6684658e-08,8.5724423e-09,1.7336931e-06,4.9699998,1.251333,25.026661
4.9807973,3067.3826,4.98,1,1.5410163e-07,1.8976218e-08,3.0820327e-06,4.9699998,1.251333,25.026661
4.9809971,3067.3826,4.98,1,2.3935723e-07,3.8548745e-08,4.7871445e-06,4.9699998,1.251333,25.026661
4.9811974,3067.3826,4.98,1,3.4279918e-07,6.6030687e-08,6.8559834e-06,4.9699998,1.251333,25.026661
4.9813972,3067.3826,4.98,1,4.6447767e-07,1.0124033e-07,9.2895534e-06,4.9699998,1.251333,25.026661
4.9815974,3067.3826,4.98,1,6.0439265e-07,1.4417768e-07,1.2087853e-05,4.9699998,1.251333,25.026661
